A43119501                                                                     L10 CHEM CL 5/10-ASS     0000002,620000004,16CH11    CG              00000000
A43191901                                                                     CHEM EUROFOLIO 5/10-ASS  0000000,290000000,87CH11    CG      AUCHAN  00000000
A43200901                                                                     CHEM CTD'OR CL 5/10-ASS  0000000,510000001,86CH11    CG      AUCHAN  00000000
A43221901                                                                     CHEM PP 5/10-ASS         0000000,350000001,33CH7     CG      AUCHAN  00000000
A54951501                                                                     AU-CL A4 D254A CD'OR-ASS 0000000,810000002,19RM18    RC      AUCHAN  00000000
A58509941                                                                     TRIEUR  8C PP OPAQUE-ASS 0000001,290000003,60TRIEURS CG      AUCHAN  00000000
A58512941                                                                     TRIEUR 12C PP OPAQUE-INC 0000001,560000003,21TRIEURS CG      AUCHAN  00000000
A60101905                                                                     CL17X22 D352A CTD'OR-ASS 0000000,930000001,83RM18    RC      AUCHAN  00000000
A60151901                                                                     CL A6 D35 4A CD'OR-ASS   0000000,890000001,76RM18    RC      AUCHAN  00000000
A60201901                                                                     CL A5 D35 4A CD'OR-ASS   0000000,900000001,87RM18    RC      AUCHAN  00000000
A62101905                                                                     AU-CL A4 D404A CD'OR-ASS 0000000,790000002,42RM19    RC      AUCHAN  00000000
A62102905                                                                     AU-CL24X32 D40 CD'OR-ASS 0000001,000000002,94RM18    RC              00000000
A62109901                                                                     CLA ERG A4+D45 CD'OR-ASS 0000001,070000003,38RM18    RC              00000000
A62629901                                                                     AU-YEKA D20 PP OPA-ASS   0000000,490000001,32RM17    RC      AUCHAN  00000000
A62657901                                                                     CL A4+ D354A PP12/10-ASS 0000000,690000002,50RM19    RC      AUCHAN  00000000
A62659903                                                                     CLA A4+ D35 4A PP-ASS    0000000,610000002,12RM17    RC              00000000
A9160901                                                                      AU-TRIEUR12P AUCH PP-ASS 0000002,000000002,39TRIEURS CG              00000000
G880026-20                                                                    L4 CHEM HAWAI PP         0000001,890000007,86CH13_S  CG              00000010
G880026-22                                                                    L4 CHEM HAWAI PP         0000001,740000007,86CH13_S  CG              00000000
00240011                                                                      CL A4+ D30 4A TRIADE-NOI 0000003,130000005,59MMT     RC              00000520
00240031                                                                      CL A4+ D30 4A TRIADE-BLE 0000003,130000005,59MMT     RC              00000002
00240071                                                                      CL A4+ D30 4A TRIADE-VRT 0000003,130000005,59MMT     RC              00000000
00240091                                                                      CL A4+ D30 4A TRIADE-RGE 0000003,130000005,59MMT     RC              00000000
00251031                                                                      CL 305X240 PPLISTING-BLE 0000002,370000003,00MMT     RC              00000090
00258011                                                                      CL A4+ D40 4A TRIADE-NOI 0000003,690000005,91MMT     RC              00000242
00258031                                                                      CL A4+ D40 4A TRIADE-BLE 0000003,690000005,91MMT     RC              00000034
00258071                                                                      CL A4+ D40 4A TRIADE-VRT 0000003,690000005,91MMT     RC              00000000
00258091                                                                      CL A4+ D40 4A TRIADE-RGE 0000003,690000005,91MMT     RC              00000000
00258401                                                                      CL A4+ D40 4A TRIADE-NEL 0000004,020000005,95MMT     RC              00000000
00258441                                                                      CL A4+ D40 4A TRIADE-BEL 0000004,020000005,95MMT     RC              00000000
00263031                                                                      CL 210X330 PPLISTING-BLE 0000002,410000004,39MMT     RC              00000000
00264011                                                                      CL 17X22 D40 3A TRIA-NOI 0000004,780000009,43MMT     RC              00000000
00269031                                                                      CL 305X380 PPLISTING-BLE 0000002,410000005,91MMT     RC              00000360
00277011                                                                      CL A4+ D50 4A TRIADE-NOI 0000003,840000006,33MMT     RC              00000154
00277031                                                                      CL A4+ D50 4A TRIADE-BLE 0000003,840000006,33MMT     RC              00000052
00277071                                                                      CL A4+ D50 4A TRIADE-VRT 0000003,840000006,33MMT     RC              00000020
00277091                                                                      CL A4+ D50 4A TRIADE-RGE 0000003,840000006,33MMT     RC              00000000
00453011                                                                      CL ETR A4+ D75 PVC-NOI   0000003,220000014,21MMT     RC              00000308
00453031                                                                      CL ETR A4+ D75 PVC-BLE   0000003,220000014,21MMT     RC              00000222
00453051                                                                      CL ETR A4+ D75 PVC-BDX   0000003,220000014,21MMT     RC              00000184
00453071                                                                      CL ETR A4+ D75 PVC-VRT   0000003,220000014,21MMT     RC              00000000
00922011                                                                      FI-CLA4 D30 PROG PVC-NOI 0000002,010000004,06MMT     RC              00000160
00922031                                                                      FI-CLA4 D30 PROG PVC-BLE 0000002,010000004,06MMT     RC              00000240
00922071                                                                      FI-CLA4 D30 PROG PVC-VRT 0000002,090000004,06MMT     RC              00000160
00922091                                                                      FI-CLA4 D30 PROG PVC-RGE 0000002,090000004,06MMT     RC              00000240
00922121                                                                      FI-CLA4 D30 PROG PVC-BCL 0000002,090000004,06MMT     RC              00000000
00923011                                                                      FI-CLA4 D45 PROG PVC-NOI 0000002,080000004,10MMT     RC              00000240
00923031                                                                      FI-CLA4 D45 PROG PVC-BLE 0000002,080000004,10MMT     RC              00000240
00923071                                                                      FI-CLA4 D45 PROG PVC-VRT 0000002,160000004,10MMT     RC              00000080
00923091                                                                      FI-CLA4 D45 PROG PVC-RGE 0000002,160000004,10MMT     RC              00000320
00923121                                                                      FI-CLA4 D45 PROG PVC-BCL 0000002,160000004,10MMT     RC              00000080
00924011                                                                      FI-CLA4 D60 PROG PVC-NOI 0000002,150000004,57MMT     RC              00000000
00924031                                                                      FI-CLA4 D60 PROG PVC-BLE 0000002,150000004,57MMT     RC              00000000
00924071                                                                      FI-CLA4 D60 PROG PVC-VRT 0000002,240000004,57MMT     RC              00000000
00924091                                                                      FI-CLA4 D60 PROG PVC-RGE 0000002,240000004,57MMT     RC              00000000
00924121                                                                      FI-CLA4 D60 PROG PVC-BCL 0000002,240000004,57MMT     RC              00000000
00934121                                                                      CL ETR D70 4A PP-BCI     0000002,340000011,56MMT     RC              00000000
019738-40                                                                     CHEM CROSSLINE PP        0000000,420000001,22CH7     CG              00000000
01973801-40                                                                   CHEM CROSSLINE PP        0000000,450000001,18CH7     CG              00000000
01983801-40                                                                   CHEM CROSSLINE PP        0000000,420000001,64CH7     CG              00004640
01986011                                                                      SP-CL305x240 LIST 5*-NOI 0000001,660000003,85MMT     RC              00000000
01986091                                                                      SP-CL305x240 LIST 5*-RGE 0000001,660000003,85MMT     RC              00000000
01986121                                                                      SP-CL305x240 LIST 5*-BCL 0000001,340000003,85MMT     RC              00000020
01987011                                                                      SP-CL305x380 LIST 5*-NOI 0000002,100000004,58MMT     RC              00000040
