A45060951-20                                                                  KANG D60 EUROF 7/10-ASS  0000000,280000002,76KAN3    CHE     AUCHAN  00000000
A864410-17                                                                    AU-S90 PPERF POU PP GR   0000000,960000005,35WI14    POS     AUCHAN  00015255
A9154081-17                                                                   AU-S50PPERF AUCH PP-INC  0000001,290000001,05WID3    PSP             00012460
BU01165081                                                                    S10 PPERF SM3 PVC10/100  0000000,000000002,59KSV5    PSP             00000000
G859026-20                                                                    L4 YEKA D20 4A HAWAI     0000001,940000008,19HAN2_S  500             00000450
G889626-20                                                                    L4 KANG D40 HAWAI PP     0000001,150000012,45KAN1_S  509             00000252
XX1221-17                                                                     LC-S50 PPERF ESQ PP LIS  0000000,890000004,26WI16    POS     GALEC   00000000
XX374-17                                                                      LC-S50 PPERF ESQ PP LIS  0000000,900000000,99WI16    POS     GALEC   00000000
X000350-17                                                                    LC-S50 PPERF A4 ESQ PP   0000000,890000000,10WI16    POS     GALEC   00000000
X100-17                                                                       LC-S100 PPERF ECO+ PP    0000001,040000000,96WI15    POS     GALEC   00000000
X1216-20                                                                      LC-L4 KANGD25 ESQ CL     0000002,360000009,66KAN1_S  509     GALEC   00000000
X1218-20                                                                      LC-KANG D40 ESQ CL       0000000,560000002,93KAN1_S  MON     GALEC   00000000
X1221-17                                                                      LC-S50 PPERF A4 ESQ PP   0000000,890000005,40WI16    POS     GALEC   00000000
X1222-17                                                                      LC-S100 PPERF ECO+ PP    0000001,040000005,79WI15    POS     GALEC   00000000
000715-09                                                                     STYLO OPTIMUM            0000000,280000001,61500     500             00000000
00153-20                                                                      LC-CLA4 D40 ESQ PVC      0000000,000000000,65HAN3    MON     GALEC   00000000
00154-20                                                                      LC-L3 CHEM ESQ CL        0000000,000000000,70ZAN6_S  512     GALEC   00000000
001801-20                                                                     PH-INT 6P ORGANISER INT  0000000,110000001,58ASIN    INT     PAPETE  00000000
002000-17                                                                     FCVL MAGIC COVER         0000000,000000001,33                        00000000
00200102-17                                                                   LOT 2 MAGIC COVER INCOL  0000000,000000008,06509     509             00000000
00200150-17                                                                   PACK 5 MAGIC COVER       0000003,500000002,63620     620             00000000
00200160-17                                                                   PACK 5 MAGIC COVER       0000003,480000002,63620     620             00000000
002009-20                                                                     PACK 5 MAGIC COVE -ASS   0000001,580000003,77620     620             00000080
00200902-20                                                                   LOT 2MAGIC COV ASS+INCOL 0000000,000000008,53509     509             00000000
00200950-20                                                                   PACK 5 MAGIC COVER - ASS 0000003,210000003,77560     560             00000000
00304080-17                                                                   BTE100 PPERF PVC 8/100   0000009,490000013,87KSV5    PSP             00006730
