A09011081                                                                     AU-S10PCOIN PP14/100-INC 0000000,000000001,72HFP     MAP_NEG         00000000
A51101901                                                                     CL LEV A4+ D70 CD'OR-ASS 0000000,950000003,50UNIPAPELMAP_NEG AUCHAN  00000000
A51108901                                                                     AU-LEV ERG D80 CD'OR-ASS 0000001,300000002,77UNIPAPELMAP_NEG AUCHAN  00000000
HB50272-09                                                                    PI-SAC PC FEMME CUIR     0000028,220000046,30BX DK   MAP_NEG         00000008
LOT-20                                                                        LOT ARTICLE SOLDES       0000000,000000000,01                        00000000
PALETTE-20                                                                    PALETTE                  0000000,000000000,10                        00000000
00097500                                                                      CHEVALET P NOM 45x120    0000000,050000000,11LEOS    MAP_NEG         00006400
00099500                                                                      CHEVALET P NOM 60x250    0000000,100000000,21LEOS    MAP_NEG         00016000
002001-17                                                                     PACK 5 MAGIC COVER       0000001,630000005,15620     620             00000200
00275010                                                                      PCTE VISITE 300C PVC-NOI 0000006,400000009,36GARDENIAMAP_NEG         00000690
00275400                                                                      PCTE VISITE 72C ELEG-NEL 0000006,990000012,25GARDENIAMAP_NEG         00000845
00275440                                                                      PCTE VISITE 72C ELEG-BEL 0000007,000000012,25GARDENIAMAP_NEG         00000325
00284011                                                                      CLA3IT D40 4A DCLIC-NOI  0000005,180000013,46GARDENIAMAP_NEG         00000170
00293502                                                                      INT NEU A3IT 5P CL 5/10  0000001,570000003,12EDISON  MAP_NEG         00000420
00322901                                                                      S3PORT ETI P/CLES AN-ASS 0000000,720000001,53LEOS    MAP_NEG         00000168
00476961                                                                      PCOIN FARD'IN PP140-ASS  0000000,080000000,25DUFNER  MAP_NEG         00003000
005282-17                                                                     ROUL 45x300 ADHESIF      0000000,690000002,79SADIPAL MAP_NEG         00001222
005284-17                                                                     ROUL 45x500 ADHESIF      0000001,230000002,93SADIPAL MAP_NEG         00000279
00528409-17                                                                   ROUL 45x500 ADHESIF      0000001,170000003,80SADIPAL MAP_NEG         00000000
00531401                                                                      PCTE VISITE 80C ELEG-NEL 0000003,240000005,24GARDENIAMAP_NEG         00002130
00531441                                                                      PCTE VISITE 80C ELEG-BEL 0000003,240000005,24GARDENIAMAP_NEG         00000265
00576010                                                                      CL PBOOK 400X300 PVC-NOI 0000012,450000030,63GARDENIAMAP_NEG         00000018
00654502                                                                      BADGE RIG EPINGLE 60x90  0000000,040000000,10LEOS    MAP_NEG         00004000
00669503                                                                      BADGE RIG EPINGLE 40x60  0000000,040000000,09LEOS    MAP_NEG         00010000
00675-17                                                                      ETUI A SUSPEN RIG A4 PVC 0000001,010000001,81GARDENIAMAP_NEG         00000550
00775141                                                                      CHEM SOUFFLET PERSO-GCL  0000002,140000004,33GARDENIAMAP_NEG         00000000
00820502                                                                      BADGE P CTE MAGN 55x86   0000000,230000000,64LEOS    MAP_NEG         00000300
00903703-20                                                                   L3 YEKA D204A PP OPA     0000000,730000001,99BX MY   MAP_NEG         00000000
00964082                                                                      S10 PPERF REVUE PVC      0000002,080000009,07LEOS    MAP_NEG         00000815
00965080                                                                      S10 PPERF PLAN PVC30/100 0000002,520000019,81LEOS    MAP_NEG         00000300
01110082                                                                      S10 PPERF 40x30 PVC      0000002,600000013,23LEOS    MAP_NEG         00000000
01892080                                                                      ETUI A SUSPEN RIG A4 PVC 0000001,460000003,70GARDENIAMAP_NEG         00000000
01893080                                                                      S10 PPERF PLAN PVC20/100 0000002,380000004,85LEOS    MAP_NEG         00000480
01897080                                                                      SP-S10 PPERF PLAN EXT 5* 0000002,380000006,62LEOS    MAP_NEG SPICER  00002040
01900501                                                                      S20 BGE RIG EPINGL 40x60 0000000,760000004,17LEOS    MAP_NEG         00000480
01901501                                                                      S20 BGE RIG EPINGL 60x90 0000000,840000004,12LEOS    MAP_NEG         00001500
0191500-07                                                                    BAC CLASS TOUAREG        0000007,060000010,00OBLIQUE MAP_NEG         00002334
01918011                                                                      PDOC A3 40V STAND'UP-NOI 0000001,400000008,67TOP SHENMAP_NEG         00000440
01943501                                                                      BADGE PINCE+EPINGL 55x90 0000000,050000000,10LEOS    MAP_NEG         00057000
01961031                                                                      CL CD 20CD D50 3A -BLE   0000008,000000017,10GARDENIAMAP_NEG         00000060
02056011                                                                      PDOC 60V FRAMEVIEW-NOI   0000001,570000009,94HFP     MAP_NEG         00000270
02057081                                                                      S10 PPERF PLAN PP20/100  0000001,510000003,12TOP SHENMAP_NEG         00001870
02059081                                                                      S10 PCOIN+POCH CD PP-INC 0000001,090000003,70LEOS    MAP_NEG         00000460
02121011                                                                      S10 PPERF 6CD PP-NOI     0000001,100000005,66HFP     MAP_NEG         00000100
02145011                                                                      P BOOK PORT 4A VIDE-NOI  0000003,370000016,59LEOS    MAP_NEG         00000125
02146011                                                                      P BOOK PORT 24X32 4A-NOI 0000003,960000020,87LEOS    MAP_NEG         00000018
02147011                                                                      P BOOK PORT A3 4A VI-NOI 0000004,170000022,79LEOS    MAP_NEG         00000107
02148011                                                                      P BOOK CHEVALET 4A -NOI  0000003,990000020,87LEOS    MAP_NEG         00000101
02152011                                                                      L10 COUV SMART COVER-NOI 0000000,130000005,14HFP     MAP_NEG         00000020
02177011                                                                      PCTE VISITE 128C PP-NOI  0000001,280000002,88POLYFINAMAP_NEG         00001910
02178081                                                                      SP-S10 ETUI A5 5* PVC15  0000000,520000001,55REGNIERSMAP_NEG         00000000
02179081                                                                      SP-S10 ETUI 24x32 5* PVC 0000001,290000002,66REGNIERSMAP_NEG         00000200
02180081                                                                      SP-S10 ETUI A4 5* PVC15  0000001,090000002,15REGNIERSMAP_NEG         00000200
02193031                                                                      S10 PCOIN PVC SUP-BLE    0000000,600000001,26HFP     MAP_NEG         00000000
02193071                                                                      S10 PCOIN PVC SUP-VRT    0000000,600000001,26HFP     MAP_NEG         00000000
02193081                                                                      S10 PCOIN PVC SUP-INC    0000000,600000001,26HFP     MAP_NEG         00000200
02193091                                                                      S10 PCOIN PVC SUP-RGE    0000000,600000001,26HFP     MAP_NEG         00000000
02193131                                                                      S10 PCOIN PVC SUP-JAU    0000000,600000001,26HFP     MAP_NEG         00000000
02193151                                                                      S10 PCOIN PVC SUP-MAU    0000000,600000001,26HFP     MAP_NEG         00000000
02193961                                                                      S10 PCOIN PVC SUP-ASS    0000000,600000001,39HFP     MAP_NEG         00000260
02200011                                                                      PDOC20FAI TT TERRAIN-NOI 0000021,850000058,94GARDENIAMAP_NEG         00000082
02204-09                                                                      PDOC AM 40V PP-NOI       0000000,810000006,31LEOS    MAP_NEG         00000010
02204031                                                                      PDOC AM 40V PP-BLE       0000000,790000002,66LEOS    MAP_NEG         00000000
02205081                                                                      S10 PPERF AM PP          0000000,020000001,13LEOS    MAP_NEG         00000000
02229081                                                                      S5 PPERF REVUE PVC14/100 0000001,040000003,43LEOS    MAP_NEG         00000000
02250081                                                                      S10PCOIN PT CORNLK -INC  0000000,850000002,54DINGUA  MAP_NEG         00000000
02250961                                                                      S10PCOIN PT CORNLK-ASS   0000000,850000002,95DINGUA  MAP_NEG         00004745
02251081                                                                      S10PCOIN GDE CORNLK-INC  0000001,390000003,93DINGUA  MAP_NEG         00000775
02251961                                                                      S10PCOIN GDE CORNLK-ASS  0000001,390000005,20DINGUA  MAP_NEG         00000750
04024-06                                                                      CL LEV A4D50 GRISNUA     0000000,730000001,94ELBA GMYMAP_NEG         00000960
050390-20                                                                     AU-FT RECT AIR MIXTY     0000001,080000004,38SH      MARYSE  AUCHAN  00000000
052848-20                                                                     AU-GIB ROUL 41 CHI POP L 0000014,030000051,25HH      MARYSE  AUCHAN  00000000
05361501                                                                      INT NPERF A4 6P          0000000,520000001,32PLASTOREMAP_NEG         00000500
05373031                                                                      PDOC 40V FLEXIVIEW-ASS   0000001,820000002,94PROLEE  MAP_NEG         00000250
05373051                                                                      PDOC 40V FLEXIVIEW-BDX   0000000,650000002,94PROLEE  MAP_NEG         00000000
05374031                                                                      PDOC 60V FLEXIVIEW-BLE   0000002,150000003,68PROLEE  MAP_NEG         00000070
05374051                                                                      PDOC 60V FLEXIVIEW-BDX   0000000,750000003,68PROLEE  MAP_NEG         00000020
05379031                                                                      CL A4 D35 4A FLEXIVI-BLE 0000001,690000002,83PROLEE  MAP_NEG         00001920
05380031                                                                      CHEM PERSO FLEXIVIEW-BLE 0000001,130000001,33PROLEE  MAP_NEG         00002060
05380051                                                                      CHEM PERSO FLEXIVIEW-BDX 0000000,470000001,33PROLEE  MAP_NEG         00000060
055543-20                                                                     AU-GIB 38 2C AIR JUNIOR  0000007,520000031,25SH      MARYSE  AUCHAN  00000000
061821-20                                                                     CO-VALISET DSUSP COR     0000006,060000007,61OBLIQUE MAP_NEG PROVER  00000076
06182150-20                                                                   CO-VALISET DSUSP COR     0000005,760000007,24OBLIQUE MAP_NEG PROVER  00000000
061822-06                                                                     CO-L4 DSUSP COR KRAF     0000001,100000001,74OBLIQUE MAP_NEG PROVER  00000504
069856-20                                                                     CO-VALISET DSUSP COR     0000006,060000007,61OBLIQUE MAP_NEG PROVER  00000056
06985650-20                                                                   CO-VALISET DSUSP COR     0000005,760000007,24OBLIQUE MAP_NEG PROVER  00000000
07025-06                                                                      CL LEV A4D80 GRISNUA     0000000,730000001,94ELBA GMYMAP_NEG         00002760
076938-20                                                                     AU-SAC PT BORNE OUI OUI  0000005,010000020,00LAC     MARYSE  AUCHAN  00000000
