A09165932                                                                     AU-L2+1 PDOC80V BASI-ASS 0000001,640000002,16TP088   PP              00000000
A09245931                                                                     AU-PDOCPERS 20V AUCH-ASS 0000000,640000000,72TP087   PP              00005800
A09246931                                                                     AU-PDOCPERS 40V AUCH-ASS 0000000,740000000,87TP087   PP              00010980
A09247931                                                                     AU-PDOCPERS 60V AUCH-ASS 0000000,950000001,04TP087   PP              00007520
A09248931                                                                     AU-PDOCPERS 80V AUCH-ASS 0000000,910000001,20TP085   PP              00010780
A09249931                                                                     AU-PDOCPERS120V AUCH-ASS 0000001,180000001,32TP085   PP              00011060
A09251931                                                                     AU-PDOCPERS200V AUCH-ASS 0000001,750000002,05TP085   PP              00009810
A581154-20                                                                    AU-PDOCPERS160V AUCH-ASS 0000001,430000000,10TP085   PP      AUCHAN  00009360
A9071931                                                                      AU-PDOC 200V STANDUP-ASS 0000001,860000007,42TP085   PP      AUCHAN  00000000
GA00048011                                                                    PDOC 40V LUTIN PVC-NOI   0000001,900000006,61TP015   PV              00000550
GA00048031                                                                    PDOC 40V LUTIN PVC-BLE   0000001,860000006,61TP015   PV              00000000
GA00052011                                                                    PDOC 60V LUTIN PVC-NOI   0000002,820000010,29TP016   PV              00000550
GA00052031                                                                    PDOC 60V LUTIN PVC-BLE   0000002,810000010,29TP016   PV              00000000
GA00055011                                                                    PDOC 80V LUTIN PVC-ASS   0000003,440000012,71TP016   PV              00000550
GA00055031                                                                    PDOC 80V LUTIN PVC-BLE   0000003,440000012,71TP016   PV              00000350
GA00057011                                                                    PDOC 160V LUTIN PVC-NOI  0000006,540000018,48TP016   PV              00000200
G854026-20                                                                    L4 PDOC 40V HAWAI        0000002,220000009,77TP098_S PP              00000175
G858026-20                                                                    L4 PDOC 80V HAWAI        0000003,200000013,92TP098_S PP              00000057
VIVDIV10                                                                      DIV 10P PP3/10E          0000000,950000000,10M_INDEX IN              00000000
VIVDIV5                                                                       DIV 5P PP3/10E           0000000,520000000,10M_INDEX IN              00000000
X000353-20                                                                    LC-PDOC PERSO 40V ESQ PP 0000000,000000000,10TP096   PP      GALEC   00000000
X000354-20                                                                    LC-PDOC PERSO 60V ESQ PP 0000000,000000002,69TP096   PP      GALEC   00000000
X000355-20                                                                    LC-PDOC PERSO 80V ESQ PP 0000000,000000000,10TP096   PP      GALEC   00000000
X000356-20                                                                    LC-PDOC PERSO 120V ESQ P 0000000,000000000,10TP096   PP      GALEC   00000000
000311-20                                                                     LC-PDOC PERSO 40V ESQ PP 0000000,700000000,10TP096   PP      GALEC   00010056
00036-20                                                                      INT ALP A4+ 26P PVC BLC  0000002,260000009,19RA2     IN              00001750
00044011                                                                      PDOC 200V LUTIN PVC-NOI  0000007,600000017,23TP016   PV              00001336
00045-06                                                                      PDOC 20V LUTIN PVC-GCL   0000001,520000003,20TP015   PV              00000055
00045011                                                                      PDOC 20V LUTIN PVC-NOI   0000001,580000003,20TP015   PV              00001590
00045031                                                                      PDOC 20V LUTIN PVC-BLE   0000001,580000003,20TP015   PV              00001045
00045051                                                                      PDOC 20V LUTIN PVC-BDX   0000001,580000003,20TP015   PV              00000120
00045071                                                                      PDOC 20V LUTIN PVC-VRT   0000001,580000003,20TP015   PV              00000245
00045121                                                                      PDOC 20V LUTIN PVC-BCL   0000001,550000003,20TP015   PV              00000000
00045191                                                                      PDOC 20V LUTIN PVC-VCL   0000001,550000003,20TP015   PV              00000000
00045961                                                                      PDOC 20V LUTIN PVC-ASS   0000001,650000003,20TP015   PV              00000265
00048-06                                                                      PDOC 40V LUTIN PVC-GCL   0000001,850000004,97TP015   PV              00000125
00048011                                                                      PDOC 40V LUTIN PVC-NOI   0000001,900000004,97TP015   PV              00001630
00048031                                                                      PDOC 40V LUTIN PVC-BLE   0000001,900000004,97TP015   PV              00000785
00048051                                                                      PDOC 40V LUTIN PVC-BDX   0000001,900000004,97TP015   PV              00000550
00048071                                                                      PDOC 40V LUTIN PVC-VRT   0000001,900000004,97TP015   PV              00000320
00048191                                                                      PDOC 40V LUTIN PVC-VCL   0000001,870000004,97TP015   PV              00000000
00048961                                                                      PDOC 40V LUTIN PVC-ASS   0000001,900000004,97TP015   PV              00000410
00052-06                                                                      PDOC 60V LUTIN PVC-GCL   0000002,760000007,99TP016   PV              00000120
00052011                                                                      PDOC 60V LUTIN PVC-NOI   0000002,810000007,99TP016   PV              00001450
00052031                                                                      PDOC 60V LUTIN PVC-BLE   0000002,810000007,99TP016   PV              00000425
00052051                                                                      PDOC 60V LUTIN PVC-BDX   0000002,810000007,99TP016   PV              00000390
00052071                                                                      PDOC 60V LUTIN PVC-VRT   0000002,810000007,99TP016   PV              00000345
00052961                                                                      PDOC 60V LUTIN PVC-ASS   0000002,810000007,99TP016   PV              00000285
00055-06                                                                      PDOC 80V LUTIN PVC-GCL   0000003,380000009,89TP016   PV              00000395
00055011                                                                      PDOC 80V LUTIN PVC-NOI   0000003,440000009,89TP016   PV              00001010
00055031                                                                      PDOC 80V LUTIN PVC-BLE   0000003,440000009,89TP016   PV              00000340
00055051                                                                      PDOC 80V LUTIN PVC-BDX   0000003,440000009,89TP016   PV              00000365
00055071                                                                      PDOC 80V LUTIN PVC-VRT   0000003,440000009,89TP016   PV              00000420
00055961                                                                      PDOC 80V LUTIN PVC-ASS   0000003,440000009,89TP016   PV              00000235
00056-06                                                                      PDOC 100V LUTIN PVC-GCL  0000003,960000011,56TP016   PV              00000070
00056011                                                                      PDOC 100V LUTIN PVC-NOI  0000004,010000011,56TP016   PV              00001945
00056031                                                                      PDOC 100V LUTIN PVC-BLE  0000004,010000011,56TP016   PV              00000835
00056051                                                                      PDOC 100V LUTIN PVC-BDX  0000004,010000011,56TP016   PV              00000175
00056071                                                                      PDOC 100V LUTIN PVC-VRT  0000004,010000011,56TP016   PV              00000055
00056961                                                                      PDOC 100V LUTIN PVC-ASS  0000004,010000011,56TP016   PV              00000230
00057011                                                                      PDOC 160V LUTIN PVC-NOI  0000006,440000013,82TP016   PV              00001276
00057051                                                                      PDOC 160V LUTIN PVC-BDX  0000006,430000013,82TP016   PV              00000202
00058031                                                                      PDOC40V LUTIN VISION-BLE 0000002,260000004,97TP015   PV              00000200
00058061                                                                      PDOC40V LUTIN VISION-BLC 0000002,260000004,97TP015   PV              00000090
00058141                                                                      PDOC40V LUTIN VISION-GCL 0000002,260000004,97TP015   PV              00000020
00058161                                                                      PDOC40V LUTIN VISION-CAS 0000002,260000004,97TP015   PV              00000050
00058181                                                                      PDOC40V LUTIN VISION-FRA 0000002,260000004,97TP015   PV              00000070
00058901                                                                      PDOC40V LUTIN VISION-ASS 0000002,260000004,97TP015   PV              00002655
00059031                                                                      PDOC60V LUTIN VISION-BLE 0000003,170000007,99TP016   PV              00000040
00059061                                                                      PDOC60V LUTIN VISION-BLC 0000003,170000007,99TP016   PV              00000055
00059141                                                                      PDOC60V LUTIN VISION-GCL 0000003,170000007,99TP016   PV              00000000
00059161                                                                      PDOC60V LUTIN VISION-CAS 0000003,170000007,99TP016   PV              00000005
00059181                                                                      PDOC60V LUTIN VISION-FRA 0000003,170000007,99TP016   PV              00000010
00059901                                                                      PDOC60V LUTIN VISION-ASS 0000003,170000007,99TP016   PV              00001347
00060031                                                                      PDOC80V LUTIN VISION-BLE 0000003,800000009,89TP016   PV              00000035
00060061                                                                      PDOC80V LUTIN VISION-BLC 0000003,800000009,89TP016   PV              00000010
00060141                                                                      PDOC80V LUTIN VISION-GCL 0000003,730000009,89TP016   PV              00000010
00060161                                                                      PDOC80V LUTIN VISION-CAS 0000003,800000009,89TP016   PV              00000000
00060181                                                                      PDOC80V LUTIN VISION-FRA 0000003,800000009,89TP016   PV              00000020
00060901                                                                      PDOC80V LUTIN VISION-ASS 0000003,800000009,89TP016   PV              00001380
00065011                                                                      PDOC A5 30V LUTIN -NOI   0000002,470000004,05TP014   PV              00000000
00065961                                                                      PDOC A5 30V LUTIN -ASS   0000002,470000004,05TP014   PV              00000550
00066-20                                                                      PDOC 30V LUTIN PVC-ASS   0000001,930000003,00TP014   PV              00000000
00087012                                                                      PDOC 6FAI 120V VOLTI-NOI 0000006,780000015,83TP040   PV              00000175
00089082                                                                      INT A4 5P VOLTIPLAST PVC 0000002,190000004,51TP040   PV              00000400
00092012                                                                      PDOC10FAI 200V VOLTI-NOI 0000007,950000021,96TP040   PV              00000334
00094-20                                                                      INT PERS A4+ 12P PVC     0000001,470000006,36ITRAC   IN              00004800
00107013                                                                      PDOC 2FAI 40V VOLTI-NOI  0000006,440000009,82TP040   PV              00000085
00111502                                                                      INT MEN A4 12P PVC BLC   0000001,070000003,83RA2     IN              00000150
00115502                                                                      INT NUM A4 31P PVC BLC   0000002,470000007,51RA2     IN              00000000
00116503                                                                      INT ALP A4 26P PVC BLC   0000002,150000006,64RA2     IN              00000055
00127-20                                                                      PINTERC A4+ 6P PVC17/100 0000001,020000003,47ITRAC   IN              00000580
00142086                                                                      S10POCH FAIS VOLTIPLAST  0000000,360000001,79TP040   PV              00001080
00153012                                                                      PDOC20FAI 400V VOLTI-NOI 0000032,650000095,92TP040   PV      GALEC   00000020
00156-20                                                                      INT NEU A4 12P PVC COL   0000001,300000003,34M_INDEX IN              00000015
00165-17                                                                      S10 PPERF FCLIREL        0000003,680000012,71TP063   PV              00002330
00165-20                                                                      S10 PPERF FCLIREL        0000003,680000012,71TP063   PV              00000000
00168-20                                                                      LC-PDOC PERSO 60V ESQ PP 0000000,880000000,10TP096   PP      GALEC   00009645
00169-20                                                                      LC-PDOC PERSO 80V ESQ PP 0000001,010000000,10TP096   PP      GALEC   00009144
00170-20                                                                      LC-PDOC PERSO 120V ESQ P 0000001,360000000,10TP096   PP      GALEC   00008860
00265400                                                                      REP ADRESSE ELEGANCE-NEL 0000014,560000023,46TP070   PV              00000005
00311-20                                                                      LC-PDOC40V ESQ PPOPA     0000000,600000001,89TP096   PP      GALEC   00000000
00358961                                                                      P DISQUE STATIONNEMENT   0000001,200000002,76TP070   PV              00000000
00375032                                                                      BADGE SP PINCE 60x90-BLE 0000000,260000000,26TP-CATLESS TTANT        00003100
00375061                                                                      BADGE SP PINCE 60x90-BLC 0000000,160000000,29TP-CATLESS TTANT        00000200
00375062                                                                      BADGE SP PINCE 60x90-BLC 0000000,160000000,26TP-CATLESS TTANT        00006000
00450505                                                                      INT ALP A4 26P MYL RGE   0000001,280000004,82RA6-IM  IN              00002520
00481013                                                                      PDOC10FAI 200V VOLTI-NOI 0000025,750000064,71TP040   PV              00000030
00485-20                                                                      INT PERS A4 12P PVC      0000001,440000006,13ITRAC   IN              00001140
00490031                                                                      S10 PCOIN FARDOR PVC-BLE 0000003,610000004,39TP036   IN              00000130
00490071                                                                      S10 PCOIN FARDOR PVC-VRT 0000003,610000004,39TP036   IN              00000175
00490081                                                                      S10 PCOIN FARDOR PVC-INC 0000003,540000004,39TP036   IN              00002950
00490091                                                                      S10 PCOIN FARDOR PVC-RGE 0000003,610000004,39TP036   IN              00000105
00490131                                                                      S10 PCOIN FARDOR PVC-JAU 0000003,610000004,39TP036   IN              00000160
00490151                                                                      S10 PCOIN FARDOR PVC-VIO 0000003,610000004,39TP036   IN              00000215
00490961                                                                      PCOIN FARDOR PVC-ASS     0000000,350000000,46TP036   IN              00059900
00513081                                                                      S10 PCOIN FARDCLIP-INC   0000006,970000012,13TP036   IN              00000040
00521401                                                                      CHEM ELEGANCE PVC-NEL    0000003,340000006,12TP039   PV              00000006
00531011                                                                      PCTE VISITE 80C ELEG-NEL 0000002,620000004,64TP070   PV              00000410
00532401                                                                      PDOC 40V ELEGANCE-NEL    0000004,230000007,87TP016   PV              00000555
00532411                                                                      PDOC 40V ELEGANCE-GEL    0000004,230000007,87TP016   PV              00000000
00532441                                                                      PDOC 40V ELEGANCE-BEL    0000004,240000007,87TP016   PV              00000070
00536-20                                                                      INT PERS A4 6P PVC17/100 0000000,790000003,81ITRAC   IN              00000700
00537-20                                                                      INT PERS A4+ 6P PVC      0000000,820000003,93ITRAC   IN              00003680
00539401                                                                      PDOC 60V ELEGANCE-NEL    0000004,580000010,63TP016   PV              00000570
00539441                                                                      PDOC 60V ELEGANCE-BEL    0000004,580000010,63TP016   PV              00000040
00546401                                                                      PDOC 100V ELEGANCE-NEL   0000005,790000015,02TP016   PV              00000905
00546441                                                                      PDOC 100V ELEGANCE-BEL   0000005,830000015,02TP016   PV              00000140
00551083                                                                      S10 ETUI DBL 24x32 PVC   0000004,970000012,98TP062   PV              00000010
00552-17                                                                      S10ETUI DBL A4 PVC30/100 0000004,660000009,41TP062   PV              00000140
00554-17                                                                      S10ETUI DBL A5 PVC30/100 0000002,930000006,80TP062   PV              00000050
00567083                                                                      SACHET 10 ETUIS TRIPLES  0000004,010000043,28TP063   PV              00000000
00572-17                                                                      ETUI CTE GRISE PVC30/100 0000000,450000000,73TP064   PV              00000140
00573-17                                                                      ETUI CTE GRISE EUROP PVC 0000000,650000000,72TP064   PV              00000460
00603-17                                                                      S10ETUI SPL A4 PVC30/100 0000002,370000005,14TP063   PV              00000095
00603085                                                                      S10ETUI SPL A4 PVC30/100 0000002,380000005,14TP063   PV              00000000
00605-17                                                                      S10ETUI SPL A3 PVC30/100 0000004,260000010,39TP062   PV              00000040
00616-17                                                                      S50 ETUI 55x86 PVC15/100 0000002,540000008,16TP064   PV              00000040
00623013                                                                      PDOC20FAI 400V VOLTO-NOI 0000030,690000094,76TP040   PV              00000000
00639-20                                                                      INT NEU A4 6P PVC COL    0000000,730000001,72M_INDEX IN              00000040
00656010                                                                      CL24X32 D40 4A TRIAD-NOI 0000008,760000020,77TP070   PV              00000000
00660010                                                                      CL A4IT D40 3A DCLIC-NOI 0000008,450000014,29TP070   PV              00000042
00735011                                                                      PDOC A3 40V LUTIN -NOI   0000006,020000010,10TP071   PV              00000110
00751121                                                                      PDOC 40V FLEXIPRATIC-BCL 0000001,050000003,65TP087   PP              00000000
00751961                                                                      PDOC 40V FLEXIPRATIC-ASS 0000001,090000003,65TP087   PP              00000000
00752011                                                                      PDOC 60V FLEXIPRATIC-NOI 0000001,230000004,54TP087   PP              00000000
00759082                                                                      S10 PPERF A5 ADRINGBOOK  0000001,810000004,69TP064   PV              00000000
00911500                                                                      OD-INTALP A4 NDAY MYLRGE 0000001,230000003,28RA6-IM  IN              00001225
00966-17                                                                      S10 PPERF 16CVISITE PVC  0000001,580000003,24TP062   PV              00000550
01033-17                                                                      S10PPERF CARTORI BOOK4C  0000000,940000002,77TP062   PV              00002580
01047-17                                                                      S10PPERF CARTORI BOOK3C  0000000,940000002,77TP062   PV              00000160
01102082                                                                      S10 PPERF 24x32 PVC9/100 0000002,330000006,82TP063   PV              00000350
01105082                                                                      S10PPERF A3IT PLIEE PVC  0000005,780000009,24TP063   PV              00000350
01106082                                                                      S10 PPERF A3IT PVC       0000002,590000008,15TP063   PV              00001015
01109082                                                                      S10 PPERF A4IT PVC       0000001,380000005,43TP063   PV              00000000
01113-17                                                                      S10 PPERF A5 PVC SUP     0000001,340000005,04TP063   PV              00000100
01544011                                                                      PDOC 20V BASIC PP-NOI    0000000,370000000,46TP088   PP              00001400
01544031                                                                      PDOC 20V BASIC PP-BLE    0000000,370000000,46TP088   PP              00001720
01544071                                                                      PDOC 20V BASIC PP-VRT    0000000,370000000,46TP088   PP              00000080
01544091                                                                      PDOC 20V BASIC PP-RGE    0000000,370000000,46TP088   PP              00001440
01544961                                                                      PDOC 20V BASIC PP-ASS    0000000,370000000,46TP088   PP              00000000
01545011                                                                      PDOC 40V BASIC PP-NOI    0000000,430000000,52TP088   PP              00002250
01545031                                                                      PDOC 40V BASIC PP-BLE    0000000,430000000,52TP088   PP              00001900
01545071                                                                      PDOC 40V BASIC PP-VRT    0000000,430000000,52TP088   PP              00000680
01545091                                                                      PDOC 40V BASIC PP-RGE    0000000,430000000,52TP088   PP              00001810
01545961                                                                      PDOC 40V BASIC PP-ASS    0000000,430000000,52TP088   PP              00000200
01545971                                                                      PDOC 40V BAS.PP-ASTRL    0000000,300000000,52TP088   PP              00000150
01546011                                                                      PDOC 60V BASIC PP-NOI    0000000,510000000,64TP088   PP              00003220
01546031                                                                      PDOC 60V BASIC PP-BLE    0000000,510000000,64TP088   PP              00001990
01546071                                                                      PDOC 60V BASIC PP-VRT    0000000,510000000,64TP088   PP              00000840
01546091                                                                      PDOC 60V BASIC PP-RGE    0000000,510000000,64TP088   PP              00001160
01546961                                                                      PDOC 60V BASIC PP-ASS    0000000,510000000,64TP088   PP              00000000
01546971                                                                      PDOC 60V BAS.PP-ASTRL    0000000,510000000,64TP088   PP              00000140
01706351                                                                      INT ALP A4 26P CTE 240G  0000001,290000003,12RA2     IN              00003280
01747011                                                                      PDOC 80V BASIC PP-NOI    0000000,520000000,74TP088   PP              00002470
01747031                                                                      PDOC 80V BASIC PP-BLE    0000000,520000000,74TP088   PP              00002970
01747071                                                                      PDOC 80V BASIC PP-VRT    0000000,520000000,74TP088   PP              00000540
01747091                                                                      PDOC 80V BASIC PP-RGE    0000000,520000000,74TP088   PP              00000640
01747961                                                                      PDOC 80V BASIC PP-ASS    0000000,520000000,74TP088   PP              00000000
01747971                                                                      PDOC 80V BAS.PP-ASTRL    0000000,520000000,74TP088   PP              00000430
01754501                                                                      RP-INT NEU A4 6P PP COL  0000000,430000000,67M_INDEX IN      RP DIF  00000050
01756501                                                                      RP-INT NEU A4 PP 12P COL 0000000,720000001,12M_INDEX IN      RP DIF  00000050
01797501                                                                      INT NUM A4 12P PVC BLC   0000001,070000003,83RA2     IN              00000065
01799501                                                                      INT MEN A4+ 12P PVC BLC  0000001,120000005,59RA2     IN              00002575
01800501                                                                      INT NUM A4+ 31P PVC BLC  0000002,600000010,89RA2     IN              00000020
01801501                                                                      INT NUM A4+ 12P PVC BLC  0000001,120000005,76RA2     IN              00000000
01806081                                                                      S10PPERF 20CVISITE PVC   0000001,590000003,35TP062   PV              00001310
01894080                                                                      S10 PPERF 3CD PVC 20/100 0000005,090000009,79TP063   PV              00000390
01902061                                                                      S20 BGE SP PINCE 60x90   0000003,950000011,77TP-CATLESS TTANT        00000700
01904501                                                                      S10 BGE P CTE MAGN 55x86 0000003,680000010,70TP-CATLESS TTANT        00000170
01906011                                                                      PDOC 40V STAND'UP-NOI    0000000,920000001,96TP087   PP              00000120
01906071                                                                      PDOC 40V STAND'UP-VRT    0000000,910000001,96TP087   PP              00000000
01906091                                                                      PDOC 40V STAND'UP-RGE    0000000,910000001,96TP087   PP              00000000
01907011                                                                      PDOC 60V STAND'UP-NOI    0000001,040000002,66TP087   PP              00000000
