A43119501           L10 CHEM CL 5/10-ASS     0000002,740000004,16CH11    CG              00000000
A43191901           CHEM EUROFOLIO 5/10-ASS  0000000,300000000,87CH11    CG      AUCHAN  00000000
A43200901           CHEM CTD'OR CL 5/10-ASS  0000000,520000001,86CH11    CG      AUCHAN  00000000
A43221901           CHEM PP 5/10-ASS         0000000,340000001,33CH7     CG      AUCHAN  00000000
A54951501           AU-CL A4 D254A CD'OR-ASS 0000000,880000002,30RM18    RC      AUCHAN  00000000
A58509941           TRIEUR  8C PP OPAQUE-ASS 0000001,190000003,60TRIEURS CG      AUCHAN  00000000
A58512941           TRIEUR 12C PP OPAQUE-INC 0000001,560000003,37TRIEURS CG      AUCHAN  00000000
A60101905           CL17X22 D352A CTD'OR-ASS 0000000,970000001,92RM18    RC      AUCHAN  00000000
A60151901           CL A6 D35 4A CD'OR-ASS   0000000,900000001,85RM18    RC      AUCHAN  00000000
A60201901           CL A5 D35 4A CD'OR-ASS   0000000,960000001,87RM18    RC      AUCHAN  00000000
A62101905           AU-CL A4 D404A CD'OR-ASS 0000000,860000002,42RM19    RC      AUCHAN  00000000
A62102905           AU-CL24X32 D40 CD'OR-ASS 0000001,070000003,09RM18    RC              00000000
A62109901           CLA ERG A4+D45 CD'OR-ASS 0000001,160000003,38RM18    RC              00000000
A62629901           AU-YEKA D20 PP OPA-ASS   0000000,520000001,32RM17    RC      AUCHAN  00000000
A62657901           CL A4+ D354A PP12/10-ASS 0000000,770000002,50RM19    RC      AUCHAN  00000000
A62659903           CLA A4+ D35 4A PP-ASS    0000000,660000002,12RM17    RC              00000000
A9160901            AU-TRIEUR12P AUCH PP-ASS 0000001,910000002,39TRIEURS CG              00000000
G880026-20          L4 CHEM HAWAI PP         0000001,800000008,25CH13_S  CG              00000010
G880026-22          L4 CHEM HAWAI PP         0000001,800000008,25CH13_S  CG              00000000
00240011            CL A4+ D30 4A TRIADE-NOI 0000003,470000005,87MMT     RC              00000144
00240031            CL A4+ D30 4A TRIADE-BLE 0000003,470000005,59MMT     RC              00000040
00240071            CL A4+ D30 4A TRIADE-VRT 0000003,470000005,87MMT     RC              00000000
00240091            CL A4+ D30 4A TRIADE-RGE 0000003,470000005,87MMT     RC              00000000
00251031            CL 305X240 PPLISTING-BLE 0000002,620000003,15MMT     RC              00000030
00258011            CL A4+ D40 4A TRIADE-NOI 0000004,040000006,20MMT     RC              00000028
00258031            CL A4+ D40 4A TRIADE-BLE 0000004,040000005,91MMT     RC              00000002
00258071            CL A4+ D40 4A TRIADE-VRT 0000004,040000006,20MMT     RC              00000000
00258091            CL A4+ D40 4A TRIADE-RGE 0000004,040000006,20MMT     RC              00000000
00258401            CL A4+ D40 4A TRIADE-NEL 0000004,360000005,95MMT     RC              00000010
00258441            CL A4+ D40 4A TRIADE-BEL 0000004,360000005,95MMT     RC              00000000
00263031            CL 210X330 PPLISTING-BLE 0000002,650000004,61MMT     RC              00000000
00264011            CL 17X22 D40 3A TRIA-NOI 0000005,250000009,90MMT     RC              00000000
00269031            CL 305X380 PPLISTING-BLE 0000002,650000006,20MMT     RC              00000084
00277011            CL A4+ D50 4A TRIADE-NOI 0000004,200000006,65MMT     RC              00000000
00277031            CL A4+ D50 4A TRIADE-BLE 0000004,200000006,33MMT     RC              00000000
00277071            CL A4+ D50 4A TRIADE-VRT 0000004,200000006,65MMT     RC              00000000
00277091            CL A4+ D50 4A TRIADE-RGE 0000004,200000006,65MMT     RC              00000000
00453011            CL ETR A4+ D75 PVC-NOI   0000003,460000014,92MMT     RC              00000002
00453031            CL ETR A4+ D75 PVC-BLE   0000003,460000014,92MMT     RC              00000000
00453051            CL ETR A4+ D75 PVC-BDX   0000003,460000014,92MMT     RC              00000000
00453071            CL ETR A4+ D75 PVC-VRT   0000003,460000014,21MMT     RC              00000000
00922011            FI-CLA4 D30 PROG PVC-NOI 0000002,240000004,26MMT     RC              00000000
00922031            FI-CLA4 D30 PROG PVC-BLE 0000002,240000004,26MMT     RC              00000000
00922071            FI-CLA4 D30 PROG PVC-VRT 0000002,320000004,26MMT     RC              00000240
00922091            FI-CLA4 D30 PROG PVC-RGE 0000002,320000004,26MMT     RC              00000000
00922121            FI-CLA4 D30 PROG PVC-BCL 0000002,320000004,26MMT     RC              00000000
00923011            FI-CLA4 D45 PROG PVC-NOI 0000002,350000004,31MMT     RC              00000000
00923031            FI-CLA4 D45 PROG PVC-BLE 0000002,350000004,31MMT     RC              00000000
00923071            FI-CLA4 D45 PROG PVC-VRT 0000002,420000004,31MMT     RC              00000000
00923091            FI-CLA4 D45 PROG PVC-RGE 0000002,420000004,31MMT     RC              00000000
00923121            FI-CLA4 D45 PROG PVC-BCL 0000002,420000004,31MMT     RC              00000000
00924011            FI-CLA4 D60 PROG PVC-NOI 0000002,410000004,80MMT     RC              00000000
00924031            FI-CLA4 D60 PROG PVC-BLE 0000002,410000004,80MMT     RC              00000300
00924071            FI-CLA4 D60 PROG PVC-VRT 0000002,490000004,80MMT     RC              00000300
00924091            FI-CLA4 D60 PROG PVC-RGE 0000002,490000004,80MMT     RC              00000000
00924121            FI-CLA4 D60 PROG PVC-BCL 0000002,490000004,80MMT     RC              00000000
00934121            CL ETR A4+D80 4A PP-BLE  0000002,690000012,13MMT     RC              00000000
019738-40           CHEM CROSSLINE PP        0000000,400000001,22CH7     CG              00000000
01973801-40         CHEM CROSSLINE PP        0000000,450000001,18CH7     CG              00000000
01983801-40         CHEM CROSSLINE PP        0000000,400000001,64CH7     CG              00000840
01986011            SP-CL305x240 LIST 5*-NOI 0000001,910000004,04MMT     RC              00000020
01986091            SP-CL305x240 LIST 5*-RGE 0000001,910000004,04MMT     RC              00000000
01986121            SP-CL305x240 LIST 5*-BCL 0000001,330000004,04MMT     RC              00000040
01987011            SP-CL305x380 LIST 5*-NOI 0000002,360000004,81MMT     RC              00000000
01987091            SP-CL305x380 LIST 5*-RGE 0000002,360000004,81MMT     RC              00000000
01987121            SP-CL305x380 LIST 5*-BCL 0000001,620000004,81MMT     RC              00000020
089759-20           CHEM EVOL BLOOM          0000000,510000000,98PERONI  CG              00000000
108207-20           CO-YEKA D20 4A METAL-ASS 0000000,820000000,58RM17    RC      PROVER  00000390
108208-20           CO-L3 YEKA D20 METAL-ASS 0000001,650000001,74RM17    RC      PROVER  00000000
108209-20           CO-CL A4+ D35 METAL-ASS  0000001,130000000,95RM17    RC      PROVER  00000198
108210-20           CO-L3 CL A4+ D35 MET-ASS 0000002,660000002,84RM17    RC      PROVER  00000000
110519-07           C SPLE TOP FILE 5/10     0000000,210000000,28CH9     CG              00000050
110519-13           C SPLE TOP FILE 5/10     0000000,210000000,28CH9     CG              00000050
110519-14           C SPLE TOP FILE 5/10     0000000,210000000,28CH9     CG              00000000
112306-20           C SPLE CL 5/10           0000000,200000000,43CH9     CG              00000000
120306-20           CHEM CL 5/10 SS ETI      0000000,260000000,71CH11    CG              00000250
120360-20           L5 CHEM EUROF 5/10-ASS   0000001,730000003,90CH4_S   CG              00000000
120418-20           L7+3 CHEM CL + ETIQ      0000002,400000002,75CH12_S  CG              00000000
12041850-20         L7+3 CHEM CL + ETIQ      0000002,410000002,75CH12_S  CG              00000000
120440-07           CHEM 24X32 TOUAREG       0000000,420000001,18PERONI  CG              00004960
120445-07           L2 CHEM 24X32 TOUAREG    0000000,000000001,50                        00000000
120460-20           L4+1CHEM EUROF MEMO-ASS  0000001,900000003,15CH11_S  CG              00000000
120515-03           CHEM BOSTON CL 5/10      0000000,310000000,37CH10_S  CG              00002500
120515-07           CHEM BOSTON CL 5/10      0000000,310000000,37CH10_S  CG              00002500
120515-08           CHEM BOSTON CL 5/10      0000000,310000000,37CH10_S  CG              00002500
120515-09           CHEM BOSTON CL 5/10      0000000,310000000,37CH10_S  CG              00000050
120515-13           CHEM BOSTON CL 5/10      0000000,310000000,37CH10_S  CG              00003500
120515-14           CHEM BOSTON CL 5/10      0000000,310000000,37CH10_S  CG              00000000
120515-20           CHEM BOSTON CL 5/10      0000000,310000000,37CH10_S  CG              00011200
120515-21           CHEM BOSTON CL 5/10      0000000,310000000,37CH10_S  CG              00000600
1205190563-20       L10 CHEM TOPFILE         0000002,360000002,79CH12    CG              00001800
120615-03           CHEM CTD'OR CL 7/10      0000000,400000001,35CH11    CG              00000125
120615-04           CHEM CTD'OR CL 7/10      0000000,400000001,35CH11    CG              00000000
120615-06           CHEM CTD'OR CL 7/10      0000000,400000001,35CH11    CG              00000000
120615-08           CHEM CTD'OR CL 7/10      0000000,400000001,35CH11    CG              00000125
120615-09           CHEM CTD'OR CL 7/10      0000000,400000001,35CH11    CG              00000000
120615-13           CHEM CTD'OR CL 7/10      0000000,400000001,35CH11    CG              00000050
120615-14           CHEM CTD'OR CL 7/10      0000000,400000001,35CH11    CG              00000025
120615-20           CHEM CTD'OR CL 7/10      0000000,400000001,35CH11    CG              00000100
140519-03           CHEM RAB SS ELA CL       0000000,270000000,39CH10_S  CG              00000000
140519-07           CHEM RAB SS ELA CL       0000000,270000000,39CH10_S  CG              00000000
140519-08           CHEM RAB SS ELA CL       0000000,270000000,39CH10_S  CG              00000000
140519-13           CHEM RAB SS ELA CL       0000000,270000000,39CH10_S  CG              00000000
140519-14           CHEM RAB SS ELA CL       0000000,270000000,39CH10_S  CG              00000000
140519-20           CHEM RAB SS ELA CL       0000000,270000000,39CH10_S  CG              00001500
141152-20           CO-CHEM METAL PP-ASS     0000000,470000000,47CH13    CG      PROVER  00000350
141153-20           CO-L3 CHEM METAL PP-ASS  0000001,520000001,42CH13    CG      PROVER  00000000
180897-03           OD-CHEM NDAY CL450G      0000000,310000001,46CH10_S  CG      OFFICE  00000000
180903-07           OD-CHEM NDAY CL450G      0000000,300000001,46CH10_S  CG      OFFICE  00000400
180904-08           OD-CHEM NDAY CL450G      0000000,310000001,46CH10_S  CG      OFFICE  00000800
180905-13           OD-CHEM NDAY CL450G      0000000,300000001,46CH10_S  CG      OFFICE  00000800
180906-14           OD-CHEM NDAY CL450G      0000000,310000001,46CH10_S  CG      OFFICE  00000000
180907-20           OD-L10 CHEM NDAY CL      0000003,050000014,58CH10_S  CG      OFFICE  00000500
189759-20           L2 CHEM EVOL BLOOM       0000000,000000000,10                AUCHAN  00000000
191211-06           FI-C SPLE PERF CL        0000000,210000000,96CH9     CG      FIDUCI  00000000
191211-15           FI-C SPLE PERF CL        0000000,210000000,96CH9     CG      FIDUCI  00000000
191211-18           FI-C SPLE PERF CL        0000000,210000000,96CH9     CG      FIDUCI  00000000
191211-19           FI-C SPLE PERF CL        0000000,210000000,96CH9     CG      FIDUCI  00000000
191211-22           FI-C SPLE PERF CL        0000000,210000000,96CH9     CG      FIDUCI  00000000
191223-06           FI-CHEM PERF CL 450G     0000000,260000001,46CH12    CG      FIDUCI  00000000
191223-15           FI-CHEM PERF CL 450G     0000000,260000001,46CH12    CG      FIDUCI  00010000
191223-18           FI-CHEM PERF CL 450G     0000000,260000001,46CH12    CG      FIDUCI  00000000
191223-19           FI-CHEM PERF CL 450G     0000000,260000001,46CH12    CG      FIDUCI  00000000
191223-22           FI-CHEM PERF CL 450G     0000000,260000001,46CH12    CG      FIDUCI  00000000
191223-25           FI-CHEM PERF CL 450G     0000000,260000001,46CH12    CG      FIDUCI  00000000
191223-28           FI-CHEM PERF CL 450G     0000000,260000001,46CH12    CG      FIDUCI  00000000
20093901-03         CHEM TRANSPARENCE        0000000,320000001,59CH7     CG              00000000
20093901-17         CHEM TRANSPARENCE        0000000,320000001,59CH7     CG              00000000
20093901-20         CHEM TRANSPARENCE        0000000,320000001,59CH7     CG              00000500
20093903-20         L3+1 CHEM PP TRANSPARENC 0000000,000000000,10                        00000000
20093909-20         CHEM A4 PP TRANSPARENCE  0000000,380000001,59 CH13    CG             00000420
20094301-20         L3 CHEM TRANSP PP        0000001,000000005,64CH7_S   CG              00000000
208700-20           CL A4 D40 4A BAYAD-ASS   0000000,850000000,10RM19    RC              00000000
208800-20           CL A4 D40 4A ZEN         0000001,210000002,31RM19    RC              00000120
23983801-40         L3 CHEM CROSSLINE        0000001,280000002,71CH7_S   CG              00000000
23983802-40         L3 CHEM CROSSLINE        0000000,000000000,10CH7     CG              00000000
240838-40           L2+1 CHEM CROSSLINE      0000001,430000003,69CH7_S   CG              00000000
250838-40           L3+1 CHEM CROSSLINE      0000000,000000002,07                        00000000
294860-20           CS-CLA4+D40 4A CAS       0000001,020000000,96RM19    RC      E M C   00000320
294903-20           CL A5IT D35 2A OPAL -ASS 0000000,590000001,52RM18    RC              00000100
294904-20           CL A6IT D35 2A OPAL -ASS 0000000,540000001,47RM18    RC              00000020
318353-21           AU-TRIEUR 12C TRANSL PP  0000001,410000000,10TRIEURS CG      AUCHAN  00000000
402245-20           AU-L7+3 CHEM CL + ET     0000002,730000000,10CH12    CG      AUCHAN  00000000
40224550-20         AU-LT7+3 CHEM CL + ETIQ  0000002,410000000,10CH12    CG      AUCHAN  00000000
42003032            C SPLE CL 5/10-BLE       0000000,220000000,28CH9_S   CG              00004950
42003072            C SPLE CL 5/10-VRT       0000000,220000000,28CH9_S   CG              00001100
42003092            C SPLE CL 5/10-RGE       0000000,220000000,28CH9_S   CG              00002750
42003132            C SPLE CL 5/10-JAU       0000000,220000000,28CH9_S   CG              00002550
42003212            C SPLE CL 5/10-ORG       0000000,220000000,28CH9_S   CG              00002000
42003902            C SPLE CL 5/10-ASS       0000000,220000000,28CH9_S   CG              00009250
42003932            C SPLE CL 5/10-ASS       0000000,220000000,28CH9_S   CG              00000000
42056011            LY-L10 C SPLE IMP CL-NOI 0000002,230000002,99CH9_S   CG              00000150
42056031            LY-L10 C SPLE IMP CL-BLE 0000002,230000002,99CH9_S   CG              00000000
42056071            LY-L10 C SPLE IMP CL-VRT 0000002,230000002,99CH9_S   CG              00000640
42056091            LY-L10 C SPLE IMP CL-RGE 0000002,230000002,99CH9_S   CG              00000800
42056131            LY-L10 C SPLE IMP CL-JAU 0000002,230000002,99CH9_S   CG              00000500
42056901            LY-L25 C SPLE IMP CL-ASS 0000005,340000007,51CH9_S   CG              00000160
42091031            C SPLE EUROF CG 5/10-BGI 0000000,250000000,42CH9     CG              00000000
4209103101          C SPLE EUROF CG 5/10-BGI 0000000,260000000,40 CH9    CG              00000000
