A42091901           CHEM SIMPLE A4 EUROFOLIO 0000000,230000000,72CH9     CG              00000000
A43000901           CHEM POCHE A MALICE C.L  0000000,210000001,47PRISON  CG              00000000
A43119501           LOT 10 CHEM A4 C.L 5/10E 0000002,590000004,16CH11    CG              00000000
A43191901           CHEM A4 EUROFOLIO C.G 5/ 0000000,290000000,87CH11    CG      AUCHAN  00000000
A43200901           CHEM A4 CARTE D'OR C.L P 0000000,470000001,74CH10    CG      AUCHAN  00000000
A43221901           CHEM A4 PP 5/10E         0000000,360000001,33CH7     CG      AUCHAN  00007750
A43229901           LOT 8+2 CHEM A4 PP OPAQU 0000003,780000000,10CH7     CG              00000000
A43296901           AUC-CHEM PERSO A4 PP AUC 0000000,650000000,81CH13    CG              00000000
A43853501           CHEM 3R NARNIA           0000000,000000001,59CH11    CG              00000000
A43893501           CHEM 3R PELL SEIGNEUR DE 0000000,000000001,59CH11    CG              00000000
A45000931           CHEM KANG 24X32 EUROBOX  0000000,540000001,68MEC2 25 CB              00000000
A45040935           CHEM KANG 24X32 EUROBOX  0000000,580000002,19MEC2 40 CB              00000000
A45060951           CHEM KANG 24X32 EUROBOX  0000000,750000002,76MEC1    CB              00000000
A45081951           BOITE 24X32 EUROBOX C.G  0000001,110000003,86AVS     CB              00000000
A45126902           LOT 3+1 GTE CHEM KANG C. 0000002,040000003,22MEC2 25 CB              00000000
A54853501           CLA A4 NARNIA D 40 4 ANX 0000000,000000002,65RDC19   RC              00000000
A54951501           CLA A4 CARTE D'OR CP D25 0000000,790000002,19RM18    RC      AUCHAN  00000000
A58509941           TRIEUR 24X32 PP 8 CASES  0000001,260000003,60TRIEURS CB      AUCHAN  00002700
A58512941           TRIEUR 24X32 PP 12P 3R+E 0000001,530000001,61TRIEURS CB      AUCHAN  00001908
A60101905           CLA 17*22 CARTE D'OR CP  0000000,840000001,83RM18    RC      AUCHAN  00000000
A60151901           CLA A6 CARTE D'OR CP D35 0000000,780000001,64RM18    RC      AUCHAN  00000000
A60201901           CLA A5 CARTE D'OR CP D35 0000000,810000001,87RM18    RC      AUCHAN  00004130
A62101905           CLA A4 CARTE D'OR CP D40 0000000,790000002,30RM19    RC      AUCHAN  00009720
A62102905           CLA 24*32 CARTE D'OR D40 0000000,990000002,94RM18    RC              00000000
