A45060951-20        00000050                        000000000000001000000010       SOT
A864410-17          00017982                        000038610000002700000027       MDG
A864410-17          00000000                        000038610000002700000027       SOB
A864410-17          00003240                        000038610000002700000027       SOT
A9154081-17         00015440                        000026000000002000000020       MDG
A9154081-17         00000000                        000026000000002000000020       SOT
G859026-20          00001790                        000000900000000500000005       MDG
G859026-20          00000000                        000000900000000500000005       SOT
G889626-20          00001620                        000000000000003600000036       MDG
G889626-20          00000252                        000000000000003600000036       SOT
XX374-17            00000700                        000000000000035000000350       SOT
X000350-17          00054960                        000000000000002000000020       MDG
X1216-20            00000336                        000000000000000400000004       SOB
X1218-20            00000576                        000000000000000900000009       SOT
X1221-17            00000440                        000000000000002000000020       MDG
X1221-17            00003000                        000000000000002000000020       SOT
X1222-17            00019040                        000000000000056000000560       SOB
000715-09           00012870                        000000000000001000000010       MDG
00153-20            00000378                        000000000000001400000014       SOT
00154-20            00001904                        000000000000001600000016       MDG
00154-20            00004048                        000000000000001600000016       SOT
002000-17           00000840                        000000000000004000000040       MDG
002000-17           00011120                        000000000000004000000040       SOT
00200150-17         00000460                        000000000000023000000230       MDG
00200150-17         00073600                        000000000000023000000230       SOB
00200160-17         00002300                        000000000000046000000460       MDG
002009-20           00015760                        000000400000004000000040       MDG
00200902-20         00001860                        000000000000002000000020       MDG
00304080-17         00002330                        000017930000000100000001       MDG
00304080-17         00000000                        000017930000000100000001       TR
00476080-17         00010100                        000000000000010000000100       MDG
00517031-03         00000405                        000000500000000500000005       MDG
00517031-03         00000000                        000000500000000500000005       TR
00517071-14         00000685                        000000000000000500000005       MDG
00517081-17         00002205                        000005800000000500000005       MDG
00517081-17         00000000                        000005800000000500000005       TR
00517091-13         00001100                        000000000000000500000005       MDG
00517131-08         00000670                        000000000000000500000005       MDG
00517151-11         00001150                        000000050000000500000005       MDG
00517151-11         00000000                        000000050000000500000005       TR
00517961-20         00010900                        000030000000005000000050       MDG
00517961-20         00000000                        000030000000005000000050       TR
00540-20            00000680                        000000000000002000000020       MDG
00543-20            00000140                        000000800000002000000020       MDG
00770082-17         00000520                        000000750000000500000005       MDG
00770082-17         00000000                        000000750000000500000005       TR
008642-17           00004510                        000000000000001000000010       MDG
00864201-17         00000200                        000000000000001000000010       MDG
00864202-17         00005790                        000000000000001000000010       MDG
009030-13           00002120                        000000000000004000000040       MDG
009030-14           00001400                        000000000000004000000040       MDG
009030-20           00028080                        000000800000004000000040       MDG
009030-20           00000000                        000000800000004000000040       SO2
009039-20           00000000                        000012800000004000000040       GFP
009039-20           00007440                        000012800000004000000040       MDG
009039-20           00006400                        000012800000004000000040       SOT
009130-03           00009200                        000002400000004000000040       MDG
009130-09           00008800                        000000000000004000000040       MDG
009130-13           00009160                        000012800000004000000040       MDG
009130-13           00000000                        000012800000004000000040       SOT
009130-14           00008560                        000000000000004000000040       MDG
009130-20           00003000                        000000000000004000000040       MDG
009339-20           00000840                        000000000000002000000020       MDG
009532-20           00000740                        000000000000002000000020       MDG
0095390150-20       00001188                        000000000000013200000132       MDG
00960501-17         00002930                        000003500000001000000010       MDG
00960501-17         00000000                        000003500000001000000010       TR
01164-17            00001510                        000000500000001000000010       MDG
01165081-17         00011560                        000021800000001000000010       MDG
01165081-17         00000000                        000021800000001000000010       TR
01347003-20         00000360                        000000000000006000000060       MDG
01347102-20         00001800                        000000000000002000000020       SOT
01347103-20         00002220                        000000000000002000000020       MDG
01347203-20         00011970                        000000000000003000000030       MDG
01610081-17         00014400                        000001200000004000000040       MDG
01610081-17         00000000                        000001200000004000000040       TR
01700501-17         00004230                        000018400000001000000010       MDG
01700501-17         00000000                        000018400000001000000010       TR
01702501-17         00005750                        000001000000001000000010       MDG
01702501-17         00000000                        000001000000001000000010       TR
01703501-17         00004220                        000006000000001000000010       MDG
01703501-17         00000000                        000006000000001000000010       TR
01714501-17         00001620                        000001800000001000000010       MDG
01714501-17         00000000                        000001800000001000000010       TR
01716501-17         00002590                        000013000000001000000010       MDG
01716501-17         00000000                        000013000000001000000010       TR
01717501-17         00002120                        000000200000001000000010       MDG
01717501-17         00000000                        000000200000001000000010       TR
01718501-17         00004450                        000009500000001000000010       MDG
01718501-17         00000000                        000009500000001000000010       TR
01760081-17         00001450                        000000000000005000000050       MDG
01761081-17         00000525                        000000350000003500000035       MDG
01761081-17         00000000                        000000350000003500000035       TR
01895080-17         00004500                        000004300000001000000010       MDG
01895080-17         00000000                        000004300000001000000010       TR
01903801-40         00000000                        000007600000002000000020       BIS
01903801-40         00015300                        000007600000002000000020       MDG
01927081-17         00002170                        000001400000003500000035       MDG
01927081-17         00000000                        000001400000003500000035       TR
01953801-40         00024288                        000008280000001200000012       MDG
01953801-40         00000768                        000008280000001200000012       SOT
01954550-20         00000033                        000000000000003300000033       MDG
01954550-20         00001386                        000000000000003300000033       SOT
01955081-17         00000220                        000000000000001000000010       MDG
01956011-09         00001030                        000000200000001000000010       MDG
01956011-09         00000000                        000000200000001000000010       TR
01963801-40         00000000                        000007470000000900000009       BIS
01963801-40         00009135                        000007470000000900000009       MDG
01972081-17         00001530                        000005200000001000000010       MDG
01972081-17         00000000                        000005200000001000000010       TR
01974011-09         00000910                        000004800000001000000010       MDG
01974011-09         00000000                        000004800000001000000010       TR
01975011-09         00000820                        000000900000001000000010       MDG
01975011-09         00000000                        000000900000001000000010       TR
0198-17             00000048                        000000000000002400000024       MDG
01984081-17         00003490                        000006400000001000000010       MDG
01984081-17         00000000                        000006400000001000000010       TR
01993851-20         00001500                        000000000000015000000150       MDG
01993852-20         00000900                        000000000000015000000150       MDG
02134081-17         00005100                        000001200000001000000010       MDG
02134081-17         00000000                        000001200000001000000010       TR
02149011-09         00002000                        000000500000001000000010       MDG
02149011-09         00000000                        000000500000001000000010       TR
02150011-09         00000180                        000000300000001000000010       MDG
02150011-09         00000000                        000000300000001000000010       TR
02151011-09         00000440                        000000500000001000000010       MDG
02151011-09         00000000                        000000500000001000000010       TR
02196081-17         00002190                        000009500000000100000001       MDG
02196081-17         00000000                        000009500000000100000001       TR
02231081-17         00001900                        000003400000002000000020       MDG
02903801-40         00000440                        000000000000002000000020       MDG
02903802-40         00002340                        000000000000002000000020       MDG
040-20              00000504                        000000000000001200000012       MDG
0421527-17          00000465                        000000000000015500000155       MDG
05075501-17         00003140                        000000000000001000000010       MDG
05403414-20         00000392                        000000000000000800000008       MDG
05417501-17         00003080                        000000100000001000000010       MDG
05417501-17         00000000                        000000100000001000000010       TR
05418501-17         00003350                        000000100000001000000010       MDG
05418501-17         00000000                        000000100000001000000010       TR
05419501-17         00001590                        000001600000001000000010       MDG
05419501-17         00000000                        000001600000001000000010       TR
05904108-20         00022640                        000001400000002000000020       MDG
05904108-20         00000640                        000001400000002000000020       SOT
05914108-20         00000000                        000001200000001200000012       BIS
05914108-20         00007728                        000001200000001200000012       MDG
059241-20           00000168                        000000000000001200000012       MDG
059241-20           00000228                        000000000000001200000012       SOT
05924108-20         00000612                        000000000000001200000012       MDG
05944108-20         00007380                        000000000000001200000012       MDG
05944108-20         00000576                        000000000000001200000012       SOT
05964108-20         00005908                        000001400000001400000014       MDG
05964108-20         00000476                        000001400000001400000014       SOT
05974108-20         00000000                        000000800000004000000040       BIS
05974108-20         00011800                        000000800000004000000040       MDG
05984108-20         00004940                        000001200000002000000020       MDG
05984108-20         00001920                        000001200000002000000020       SOT
0606900-17          00000520                        000007200000002000000020       MDG
0606900-17          00000000                        000007200000002000000020       SOT
061807-20           00000000                        000003360000001200000012       GFP
061807-20           00006816                        000003360000001200000012       MDG
061808-20           00000000                        000003330000000900000009       GFP
061808-20           00003519                        000003330000000900000009       MDG
061810-20           00000000                        000004600000002000000020       GFP
061810-20           00011460                        000004600000002000000020       MDG
061810-20           00003840                        000004600000002000000020       SOT
061811-20           00000000                        000002520000001200000012       GFP
061811-20           00008892                        000002520000001200000012       MDG
061812-20           00000000                        000002520000000900000009       GFP
061812-20           00003267                        000002520000000900000009       MDG
061814-17           00000020                        000000000000002000000020       MDG
0622101-17          00001088                        000000000000000100000001       MDG
0629101-17          00002754                        000000000000000100000001       MDG
063026-03           00001430                        000000100000001000000010       MDG
063026-03           00000000                        000000100000001000000010       SOT
063026-17           00001500                        000000100000001000000010       MDG
063026-20           00000950                        000000000000001000000010       MDG
063026-20           00011160                        000000000000001000000010       SOT
063034-17           00003132                        000000000000001200000012       MDG
063034-20           00000000                        000000120000001200000012       GFP
063034-20           00000732                        000000120000001200000012       MDG
063040-07           00024240                        000000100000001000000010       MDG
063040-07           00000000                        000000100000001000000010       STM
06314901-17         00000000                        000008600000002000000020       BIS
06314901-17         00004180                        000008600000002000000020       MDG
063440-07           00005292                        000000000000001400000014       MDG
06344002-07         00001246                        000000000000001400000014       MDG
064012-03           00009618                        000001120000001400000014       MDG
064012-03           00000000                        000001120000001400000014       SOT
064012-09           00001946                        000002240000001400000014       MDG
064012-13           00002212                        000000140000001400000014       MDG
064012-13           00000000                        000000140000001400000014       SOT
064012-14           00002086                        000000840000001400000014       MDG
064983-20           00000117                        000000000000003900000039       MDG
064983-20           00000312                        000000000000003900000039       SOT
064992-20           00000024                        000000000000002400000024       SOT
070981-09           00000014                        000000000000001400000014       MDG
076350-20           00015840                        000000000000002000000020       MDG
076355-20           00042520                        000000000000002000000020       MDG
080141-20           00000014                        000000000000001400000014       MDG
080157-20           00000434                        000000000000001400000014       MDG
080158-20           00000952                        000000000000001400000014       MDG
080158-20           00000896                        000000000000001400000014       SOT
080258-20           00000126                        000000000000001400000014       MDG
080559-20           00000336                        000000000000001200000012       MDG
080560-20           00001536                        000000000000001200000012       MDG
080858-20           00001460                        000000000000002000000020       MDG
080860-20           00005800                        000000000000002000000020       MDG
080958-20           00000700                        000000000000001400000014       MDG
080959-20           00000460                        000000000000002000000020       MDG
080960-20           00002464                        000000000000001400000014       MDG
081058-20           00001340                        000000000000002000000020       MDG
081059-20           00002940                        000000000000002000000020       MDG
081060-20           00013840                        000000000000002000000020       MDG
0820518-17          00012000                        000000000000050000000500       MDG
0820518-17          00071500                        000000000000050000000500       SOT
0821003-13          00028000                        000015000000050000000500       MDG
0821003-13          00000000                        000015000000050000000500       STM
0821004-15          00034000                        000000000000050000000500       MDG
0821218-17          00076500                        000000000000050000000500       MDG
085659-20           00000910                        000000000000001400000014       MDG
085660-20           00000840                        000000000000001400000014       MDG
085841-20           00000020                        000000000000002000000020       MDG
0879430-20          00002300                        000000000000002000000020       MDG
088659-20           00003472                        000000000000001400000014       MDG
088660-20           00002646                        000000000000001400000014       MDG
09011081-17         00004150                        000000750000002500000025       MDG
09011081-17         00000000                        000000750000002500000025       SOT
09015501-17         00002160                        000002100000003000000030       MDG
09015501-17         00000000                        000002100000003000000030       TR
09015502-17         00008400                        000000000000010000000100       MDG
090158-20           00004508                        000000000000001400000014       MDG
09016501-17         00001220                        000000000000002000000020       MDG
09016502-17         00000150                        000000000000005000000050       MDG
09034083-17         00006480                        000011000000002000000020       MDG
09034083-17         00000000                        000011000000002000000020       TR
090458-20           00005472                        000000000000001200000012       MDG
09081081-17         00022575                        000031250000002500000025       MDG
09081081-17         00000000                        000031250000002500000025       TR
090858-20           00002900                        000000200000002000000020       MDG
090858-20           00000000                        000000200000002000000020       SO2
090960-20           00002464                        000000000000001400000014       MDG
091058-20           00008000                        000000000000002000000020       MDG
09129081-17         00015850                        000011500000005000000050       MDG
09129081-17         00000000                        000011500000005000000050       TR
0913000-20          00008980                        000000000000002000000020       MDG
0916000-20          00010900                        000000000000002000000020       MDG
093040-07           00005026                        000000000000001400000014       MDG
096860-20           00001044                        000000000000001200000012       MDG
097659-20           00000750                        000000000000001000000010       MDG
098359-20           00004068                        000000000000001200000012       MDG
098360-20           00004608                        000000000000001200000012       MDG
098659-20           00001778                        000000000000001400000014       MDG
098660-20           00001918                        000000000000001400000014       MDG
099959-20           00001900                        000000000000002000000020       MDG
099960-20           00004980                        000000000000002000000020       MDG
100-17              00000456                        000000000000002400000024       MDG
10014009-20         00034000                        000000000000012500000125       MDG
10014109-17         00035000                        000000000000012500000125       MDG
10014109-17         00059000                        000000000000012500000125       SOT
100142-04           00000750                        000000000000012500000125       MDG
100143-08           00001250                        000000000000012500000125       MDG
10014309-08         00016125                        000000000000012500000125       MDG
100144-09           00002500                        000000000000012500000125       MDG
10014409-09         00029375                        000000000000012500000125       MDG
100145-11           00001250                        000000000000012500000125       MDG
10014509-11         00036500                        000000000000012500000125       MDG
100146-13           00005000                        000000000000012500000125       MDG
100147-15           00002375                        000000000000012500000125       MDG
10014809-10         00010500                        000000000000012500000125       MDG
10015009-20         00012000                        000000000000012500000125       MDG
10016002-20         00006500                        000000000000005000000050       MDG
10016008-20         00035000                        000000000000005000000050       MDG
10016009-20         00042000                        000000000000012500000125       MDG
10016109-17         00045625                        000000000000012500000125       MDG
10016109-17         00028375                        000000000000012500000125       SOT
10016209-04         00025375                        000000000000012500000125       MDG
10016209-04         00024750                        000000000000012500000125       SOT
100163-08           00000250                        000000000000012500000125       MDG
10016309-08         00023500                        000000000000012500000125       MDG
10016409-09         00009000                        000000000000012500000125       MDG
10016409-09         00005500                        000000000000012500000125       SOT
100165-11           00000500                        000000000000012500000125       MDG
10016509-11         00025125                        000000000000012500000125       MDG
100166-13           00004500                        000000000000012500000125       MDG
100166-13           00002250                        000000000000012500000125       SOT
10016609-13         00013875                        000000000000012500000125       MDG
10016609-13         00022500                        000000000000012500000125       SOT
10016709-15         00030000                        000000000000012500000125       MDG
100168-10           00000125                        000000000000012500000125       MDG
