A864410-17          00012960 0243826                                                     090303
A864410-17          00003240 0244849                                                     090224
A864410-17          00003240 0244939                                                     090217
A864410-17          00004320 0245178                                                     090303
A864410-17          00003240 0245263                                                     090303
A864410-17          00003240 0245765                                                     090303
A9154081-17         00004800 0246726                                                     090224
A9154081-17         00004800 0246734                                                     090224
A9154081-17         00014400 0246766                                                     090303
A9154081-17         00004800 0246835                                                     090210
G859026-20          00000270 0246909                                                     090414
00200102-17         00001920 0247275                                                     090211
00200102-17         00001920 0247379                                                     090311
00200150-17         00000460 0229209                                                     080103
00200150-17         00019280 0273935                                                     090610
00200150-17         00030360 0273936                                                     090302
00200150-17         00030360 0273937                                                     090415
002009-20           00000200 0263962                                                     090107
002009-20           00030000 0264480                                                     090325
00200902-20         00001920 0247467                                                     090311
00304080-17         00000820 0243728                                                     090206
00304080-17         00001670 0243738                                                     090217
00304080-17         00000063 0244255                                                     090106
00304080-17         00001400 0244290                                                     090210
00304080-17         00001500 0247271                                                     090325
00304080-17         00001000 0247490                                                     090225
00304080-17         00000950 0268798                                                     090306
00304080-17         00001500 0268799                                                     090311
00304080-17         00001200 0268800                                                     090318
00476080-17         00014000 0246019                                                     090224
00517031-03         00001000 0247534                                                     090224
00517071-14         00000290 0237219                                                     080305
00517081-17         00000500 0244863                                                     090127
00517081-17         00001500 0247451                                                     090217
00517081-17         00000700 0247452                                                     090317
00517081-17         00000500 0268792                                                     090317
00517151-11         00000280 0220372                                                     080306
00517961-20         00020000 0243682                                                     090217
00517961-20         00010000 0247557                                                     090407
00540-20            00000660 0248473                                                     090203
00540-20            00001000 0248492                                                     090303
00543-20            00001400 0244991                                                     090210
00543-20            00001600 0249387                                                     090224
00770082-17         00000400 0242061                                                     090203
00770082-17         00000400 0248528                                                     090217
00770082-17         00000400 0249217                                                     090217
008642-17           00010000 0247521                                                     090327
008642-17           00011000 0248490                                                     090403
008642-17           00011000 0249233                                                     090220
009030-20           00051200 0263979                                                     090227
009030-20           00048800 0267408                                                     090512
009039-20           00030720 0263980                                                     090227
009039-20           00060160 0263981                                                     090520
009039-20           00030720 0263982                                                     090604
009130-03           00003840 0245760                                                     090217
009130-03           00003840 0249214                                                     090317
009130-03           00005120 0249296                                                     090317
009130-03           00002560 0250445                                                     090210
009130-14           00003840 0246016                                                     090331
009339-20           00002560 0249744                                                     090324
009339-20           00003840 0249745                                                     090324
009532-20           00003840 0249833                                                     090407
0095390150-20       00000792 0249089                                                     090305
0095390150-20       00001320 0249097                                                     090305
0095390150-20       00012672 0249104                                                     090305
0095390150-20       00012408 0249111                                                     090305
0095390150-20       00025608 0249112                                                     090312
0095390150-20       00025344 0249113                                                     090319
0095390150-20       00009240 0249116                                                     090312
0095390150-20       00004488 0249160                                                     090319
0095390150-20       00009240 0249240                                                     090312
00960501-17         00001040 0246128                                                     090217
00960501-17         00001040 0246131                                                     090310
00960501-17         00002080 0249893                                                     090317
01164-17            00000500 0243529                                                     090203
01164-17            00000400 0243530                                                     090203
01164-17            00002250 0249924                                                     090210
01164-17            00001500 0250953                                                     090306
01164-17            00002250 0269582                                                     090217
01165081-17         00004200 0243753                                                     090303
01165081-17         00004200 0243809                                                     090303
01165081-17         00001900 0246390                                                     090210
01165081-17         00008400 0249452                                                     090317
01165081-17         00003700 0268797                                                     090211
01700501-17         00001400 0246150                                                     090303
01700501-17         00001400 0246223                                                     090303
01700501-17         00005600 0251197                                                     090317
01702501-17         00001080 0246267                                                     090224
01702501-17         00000540 0246674                                                     090217
01702501-17         00000810 0251201                                                     090310
01702501-17         00001870 0268788                                                     090324
01703501-17         00001140 0246279                                                     090203
01703501-17         00001560 0246281                                                     090210
01703501-17         00007020 0251254                                                     090224
01703501-17         00005460 0251274                                                     090317
01703501-17         00001560 0252108                                                     090210
01714501-17         00002800 0246380                                                     090203
01714501-17         00001400 0246386                                                     090303
01714501-17         00001400 0246445                                                     090310
01714501-17         00002800 0246812                                                     090203
01714501-17         00002800 0249739                                                     090324
01714501-17         00002800 0249740                                                     090324
01716501-17         00001400 0246541                                                     090210
01716501-17         00002400 0249836                                                     090303
01716501-17         00000400 0268787                                                     090310
01718501-17         00001400 0246559                                                     090210
01718501-17         00001400 0246561                                                     090210
01718501-17         00001400 0246636                                                     090303
01718501-17         00001400 0246644                                                     090303
01718501-17         00001400 0246672                                                     090210
01718501-17         00001400 0246677                                                     090210
01718501-17         00005600 0251597                                                     090310
01761081-17         00000560 0249917                                                     090224
01895080-17         00007000 0246686                                                     090224
01895080-17         00002800 0246896                                                     090214
01903801-40         00007040 0246795                                                     090310
