00097500                                                                      00000400 835895       00250000NYMDGCATNFUCSIA                   20090213
00099500                                                                      00001400 835318       00272726NYMDGCATNPAPIGRAPH                20090211
00099500                                                                      00000600 835664       00138065NNMDGS02YFIDUCIAL BUREAUTIQUE     20090211
00099500                                                                      00000600 829387       00374100NYMDGCATNSELECT REUNION BURO S    20090212
00099500                                                                      00001600 834084       00193397NNMDGSYAYSACFOM (CENTRALE)        20090212
00099500                                                                      00002600 836067       00193003NNMDGSYGYSPICERS                  20090212
00099500                                                                      00002400 836404       00138065NNMDGS02YFIDUCIAL BUREAUTIQUE     20090218
002001-17                                                                     00000040 828445       00169100NNMDGSYAYLYON BUREAU              20090226
002001-17                                                                     00000480 832110       00127016NNMDGSYGNRP DIFFUSION VR AUBEV    20090226
002001-17                                                                     00000040 829248       00159044NNMDGJOSYBASQUIN CANONNE          20090319
002001-17                                                                     00000240 832445       00169250NNMDGSYGNRP DIFFUSION - LYON      20090330
002001-17                                                                     00000480 832278       00127016NNMDGSYGNRP DIFFUSION VR AUBEV    20090402
002001-17                                                                     00000040 835967       00106602NNMDGSYTYPRIVAT SORBONNE-NICE     20090427
002001-17                                                                     00000040 830182       00177008NNMDGJOSYAMYOT J.                 20090429
002001-17                                                                     00000240 832291       00127016NNMDGSYGNRP DIFFUSION VR AUBEV    20090429
002001-17                                                                     00000240 832452       00169250NNMDGSYGNRP DIFFUSION - LYON      20090429
002001-17                                                                     00000040 836439       00174506NYMDGSYTNLIVRES & CO ANNEMASSE    20090429
002001-17                                                                     00000040 836634       00102201NYMDGS03YBUREAU 02                20090429
002001-17                                                                     00000040 835948       00135300NNMDGSYAYBURO POLE                20090430
002001-17                                                                     00000040 835638       00106603NYMDGSYTYPRIVAT SORBONNE-CANNE    20090506
002001-17                                                                     00000280 830703       00175003NNMDGJOSNLAMARTINE                20090527
002001-17                                                                     00045400 834671       00197011NNMDGCPXYGALEC                    20090528
002001-17                                                                     00000240 832591       00169250NNMDGSYGNRP DIFFUSION - LYON      20090601
002001-17                                                                     00000240 832598       00169250NNMDGSYGNRP DIFFUSION - LYON      20090629
002001-17                                                                     00000120 834203       00146034NNMDGCPXNSOCAPDIS CENTRE LECLE    20090629
002001-17                                                                     00000280 830749       00175003NNMDGJOSNLAMARTINE                20090722
00275010                                                                      00000100 835690       00160065NNMDGCOLNOFFICE DEPOT BS SAS      20090206
00275010                                                                      00000030 835710       00191017NNMDGS02YCORPORATE EXPRESS FRA    20090206
00275010                                                                      00000020 835738       00191017NNMDGS02YCORPORATE EXPRESS FRA    20090209
00275010                                                                      00000200 835692       00160065NNMDGCOLNOFFICE DEPOT BS SAS      20090213
00275400                                                                      00000005 834026       00182067NNMDGSYGYDIFPAP                   20090206
00275400                                                                      00000075 834084       00193397NNMDGSYAYSACFOM (CENTRALE)        20090212
00275400                                                                      00000100 836602       00160065NNMDGCOLNOFFICE DEPOT BS SAS      20090213
00275400                                                                      00000150 836482       00153041NNMDGCOLYLYRECO FRANCE            20090217
00275400                                                                      00000050 836589       00160065NNMDGCOLNOFFICE DEPOT BS SAS      20090220
00275400                                                                      00000100 835741       00272725NYMDGCATNLIBRAIRIE DE FRANCE G    20090424
00275440                                                                      00000005 836303       00145165NNMDGCOLYVIKING DIRECT            20090209
00275440                                                                      00000015 836313       00193003NNMDGSYGYSPICERS                  20090212
00275440                                                                      00000100 835741       00272725NYMDGCATNLIBRAIRIE DE FRANCE G    20090424
00293502                                                                      00000060 834587       00820051NYMDGCATNPAPETERIE AS DE TREFL    20090210
00322901                                                                      00000048 834587       00820051NYMDGCATNPAPETERIE AS DE TREFL    20090210
00322901                                                                      00000024 835019       00183107NNMDGJOSYPAPETERIE REMY           20090504
005282-17                                                                     00000012 836441       00184000NNMDGCPXNAVIROC CENTRE LECLERC    20090206
005282-17                                                                     00000012 836443       00184114NNMDGCPXNAUZON VENTOUX CENTRE     20090206
005282-17                                                                     00000012 836512       00144055NNMDGNGONST HERBLAIN DIST.CTR     20090206
005282-17                                                                     00000024 836587       00159381NNMDGSYTNLE FURET DU NORD LILL    20090206
005282-17                                                                     00000036 836274       00121601NNMDGCPXNPLATE FORME CORA LONG    20090209
005282-17                                                                     00000012 836645       00106111NNMDGNGONMELHODI CENTRE LECLER    20090209
005282-17                                                                     00000180 834587       00820051NYMDGCATNPAPETERIE AS DE TREFL    20090210
005282-17                                                                     00000576 832097       00127016NNMDGSYGNRP DIFFUSION VR AUBEV    20090226
005282-17                                                                     00000144 832446       00169250NNMDGSYGNRP DIFFUSION - LYON      20090226
005282-17                                                                     00000264 836230       00496710NNMDGCATNACODIS                   20090327
005282-17                                                                     00000144 832445       00169250NNMDGSYGNRP DIFFUSION - LYON      20090330
005282-17                                                                     00000576 832270       00127016NNMDGSYGNRP DIFFUSION VR AUBEV    20090402
005282-17                                                                     00000012 833071       00138073NNMDGJOSYLIBRAIRIE-PAP. BLANCH    20090403
005282-17                                                                     00000012 836130       00264950NYMDGCATNLIBRAIRIE BUFALO         20090423
005282-17                                                                     00000720 835531       00272725NYMDGCATNLIBRAIRIE DE FRANCE G    20090424
005282-17                                                                     00000036 830182       00177008NNMDGJOSYAMYOT J.                 20090429
005282-17                                                                     00000144 832452       00169250NNMDGSYGNRP DIFFUSION - LYON      20090429
005282-17                                                                     00000036 835202       00114164NNMDGS03YPLEIN CIEL POINT VIRG    20090430
005282-17                                                                     00000012 836650       00130098NYMDGS03YLIB-PAP. GOYARD          20090430
005282-17                                                                     00000024 834717       00126337NNMDGSYTYLIVRES & CO BAUME        20090504
005282-17                                                                     00000024 836059       00162219NYMDGJOSYGERAULT JP               20090504
005282-17                                                                     00000048 830703       00175003NNMDGJOSNLAMARTINE                20090527
005282-17                                                                     00000576 832591       00169250NNMDGSYGNRP DIFFUSION - LYON      20090601
005282-17                                                                     00000036 835633       00106601NYMDGSYTYPRIVAT SORBONNE-ANTIB    20090625
005282-17                                                                     00000432 832598       00169250NNMDGSYGNRP DIFFUSION - LYON      20090629
005282-17                                                                     00000048 835332       00173012NNMDGJOSYLIBRAIRIE DES BAUGES     20090709
005282-17                                                                     00000072 830749       00175003NNMDGJOSNLAMARTINE                20090722
005284-17                                                                     00000027 835895       00250000NYMDGCATNFUCSIA                   20090213
005284-17                                                                     00000225 835531       00272725NYMDGCATNLIBRAIRIE DE FRANCE G    20090424
005284-17                                                                     00000036 830182       00177008NNMDGJOSYAMYOT J.                 20090429
005284-17                                                                     00000018 835202       00114164NNMDGS03YPLEIN CIEL POINT VIRG    20090430
005284-17                                                                     00000009 836059       00162219NYMDGJOSYGERAULT JP               20090504
005284-17                                                                     00000018 834848       00162312NNMDGSYAYHYPERBURO LONGUENESSE    20090505
005284-17                                                                     00000018 834707       00189124NNMDGS03YVOILLOT                  20090518
00528409-17                                                                   00000250 836115       00144023NNMDGCPXNANCENIS CENTRE LECLER    20090610
00528409-17                                                                   00000150 832579       00176173NNMDGPPANCITADIS CENTRE LECLER    20090611
00528409-17                                                                   00000050 836181       00144150NNMDGCPXNBRIANDIS CENTRE LECLE    20090612
00528409-17                                                                   00000400 836450       00144090NNMDGNGONPARIS DISTR. CTRE LEC    20090612
00528409-17                                                                   00000050 834194       00137149NNMDGCPXNLA MONTGOLFIERE CTRE     20090616
00528409-17                                                                   00000200 836066       00135097NNMDGCPXNSODIRENNES CENTRE LEC    20090616
00528409-17                                                                   00000100 833511       00114129NNMDGCPXNLISIEUX DISTR.CTRE LE    20090617
00528409-17                                                                   00000100 832907       00156145NNMDGCPXNVADIS CENTRE LECLERC     20090618
00528409-17                                                                   00000100 833189       00114200NNMDGCPXNVAUDRY DISTR. CTRE LE    20090618
00528409-17                                                                   00000050 834739       00130133NNMDGCPXNANGLEDIS CENTRE LECLE    20090618
00528409-17                                                                   00000300 833507       00185149NNMDGCPXNSODIROCHE CENTRE LECL    20090619
00528409-17                                                                   00000200 835973       00150015NNMDGCPXNAGNEAUX DISTR CTRE LE    20090619
00528409-17                                                                   00000100 834729       00130133NNMDGCPXNANGLEDIS CENTRE LECLE    20090623
00528409-17                                                                   00000100 836461       00192304NNMDGCPXYLEVALLOIS EXPLOITATIO    20090623
00528409-17                                                                   00000100 836466       00193500NNMDGCPXYPANTIN DISTR CTRE LEC    20090623
00528409-17                                                                   00000050 833556       00111000NNMDGCPXNT.P.L.M.CENTRE LECLER    20090624
00528409-17                                                                   00000150 836499       00185057NNMDGNGONSODIVARDIERE CENTRE L    20090626
00528409-17                                                                   00000100 832575       00176215NNMDGPPANYVETODIS CENTRE LECLE    20090629
00528409-17                                                                   00000050 833499       00133319NNMDGCPXNPESSAC DISTR. CTRE LE    20090629
00528409-17                                                                   00000150 833915       00104004NNMDGCPXNSODIALPES CENTRE LECL    20090629
00528409-17                                                                   00000050 834203       00146034NNMDGCPXNSOCAPDIS CENTRE LECLE    20090629
00528409-17                                                                   00000200 832676       00179118NNMDGCPXNBOCAGE DISTR CTRE LEC    20090630
00528409-17                                                                   00000050 833628       00113256NNMDGCPXNSODISTRES CENTRE LECL    20090630
00528409-17                                                                   00000050 834008       00183499NNMDGCPXNLA SEYDIS CENTRE LECL    20090630
00528409-17                                                                   00000100 836189       00182002NNMDGCPXNAUDIS CENTRE LECLERC     20090630
00528409-17                                                                   00000050 836375       00113601NNMDGCPXNSALONDIS CENTRE LECLE    20090630
00528409-17                                                                   00000100 832691       00141029NNMDGCPXNSOBLEDIS CENTRE LECLE    20090701
00528409-17                                                                   00000050 833533       00166044NNMDGCPXNVERNET DIS               20090701
00528409-17                                                                   00000050 833629       00113274NNMDGCPXNCENTRE LECLERC MARSEI    20090701
00528409-17                                                                   00000100 834369       00106210NNMDGCPXNNIKAIADIS II CENTRE L    20090701
00528409-17                                                                   00000100 835080       00144031NNMDGNGONNANTES NORD DIST.CTR     20090701
00528409-17                                                                   00000050 836380       00183044NNMDGCPXNSODILUC CENTRE LECLER    20090701
00528409-17                                                                   00000300 835171       00133315NNMDGCPXNHYPER COSMOS CENTRE L    20090702
00528409-17                                                                   00000050 836149       00135098NNMDGCPXNSA FOUGERES DISTRIBUT    20090702
00528409-17                                                                   00000100 836151       00144160NNMDGCPXNBRIERE DISTR. CTRE LE    20090702
00528409-17                                                                   00000200 836198       00184500NNMDGCPXNBOLDIS CENTRE LECLERC    20090702
00528409-17                                                                   00000100 832678       00185148NNMDGCPXNSODINOVE CENTRE LECLE    20090703
00528409-17                                                                   00000050 832697       00177084NNMDGCPXNMAVIDIS CENTRE LECLER    20090703
00528409-17                                                                   00000100 834531       00153008NNMDGCPXNAZEDIS CENTRE LECLERC    20090703
