A05335501           INT NEU A4 6P PP TRANSL  0000000,500000001,81M_INDEX IN      AUCHAN  00000000
A09165932           AU-L2+1 PDOC80V BASI-ASS 0000001,640000002,16ALI     ALI             00000000
A09245931           AU-PDOCPERS 20V AUCH-ASS 0000000,640000000,72TP087   PP              00003880
A09246931           AU-PDOCPERS 40V AUCH-ASS 0000000,740000000,87TP087   PP              00003860
A09247931           AU-PDOCPERS 60V AUCH-ASS 0000000,950000001,04TP087   PP              00003720
A09248931           AU-PDOCPERS 80V AUCH-ASS 0000000,910000001,20TP085   PP              00004300
A09249931           AU-PDOCPERS120V AUCH-ASS 0000001,180000001,32TP085   PP              00000000
A09250931           AU-PDOCPERS160V AUCH-ASS 0000001,450000001,68TP085   PP              00002880
A09251931           AU-PDOCPERS200V AUCH-ASS 0000001,750000002,05TP085   PP              00002500
A581154-20          AU-PDOCPERS160V AUCH-ASS 0000000,000000000,10TP085   PP      AUCHAN  00000000
A9071931            AU-PDOC 200V STANDUP-ASS 0000001,860000007,42ALI     ALI     AUCHAN  00000000
BU00275400          PCTE VISITE300C ELEG-NEL 0000006,990000016,30TP070   PV              00000000
GA00048011          PDOC 40V LUTIN PVC-NOI   0000001,900000006,61TP015   PV              00000300
GA00048031          PDOC 40V LUTIN PVC-BLE   0000001,860000006,61TP015   PV              00000100
GA00052011          PDOC 60V LUTIN PVC-NOI   0000002,820000010,29TP016   PV              00000450
GA00052031          PDOC 60V LUTIN PVC-BLE   0000002,810000010,29TP016   PV              00000050
GA00055011          PDOC 80V LUTIN PVC-ASS   0000003,440000012,71TP016   PV              00000350
GA00055031          PDOC 80V LUTIN PVC-BLE   0000003,440000012,71TP016   PV              00000150
GA00057011          PDOC 160V LUTIN PVC-NOI  0000006,540000018,48TP016   PV              00000380
GI00275010          PCTE VISITE 300C PVC-NOI 0000006,390000011,30TP070   PV              00000600
G854026-20          L4 PDOC 40V HAWAI        0000002,220000009,77TP098   PP              00000000
G858026-20          L4 PDOC 80V HAWAI        0000003,200000013,92TP098   PP              00000144
VIVDIV10            DIV 10P PP3/10E          0000000,950000000,10M_INDEX IN              00001600
VIVDIV5             DIV 5P PP3/10E           0000000,520000000,10M_INDEX IN              00000000
000311-20           LC-PDOC PERSO 40V ESQ PP 0000000,700000000,60TP096   PP      GALEC   00004152
00036-20            INT ALP A4+ 26P PVC BLC  0000002,260000009,19RA2     IN              00000210
00044011            PDOC 200V LUTIN PVC-NOI  0000007,600000017,23TP016   PV              00001316
00045-06            PDOC 20V LUTIN PVC-GCL   0000001,520000003,20TP015   PV              00000050
00045011            PDOC 20V LUTIN PVC-NOI   0000001,580000003,20TP015   PV              00001175
00045031            PDOC 20V LUTIN PVC-BLE   0000001,580000003,20TP015   PV              00000495
00045051            PDOC 20V LUTIN PVC-BDX   0000001,580000003,20TP015   PV              00000100
