00087012            00000800 185705                                                      090206
00089082            00001400 187095                                                      090213
00092012            00000798 185705                                                      090206
00107013            00000500 185705                                                      090206
00142086            00006000 186455                                                      090310
00153012            00000100 185705                                                      090206
00481013            00000150 185705                                                      090206
02064011            00000450 185705                                                      090206
02142011            00007800 188148                                                      090331
172106-20           00000325 063230                                                      991203

